#time,accel_x,accel_y,accel_z
1967.843442,2516.700203,7254.018232,-74770.920605
1967.845934,-888.247130,6809.894666,-74617.701505
1967.848426,11399.171507,5625.565159,-75537.016103
1967.850918,-592.164754,5773.606348,-75383.797003
1967.853410,8142.265362,2516.700203,-76149.892501
1967.855902,148.041188,3552.988522,-75077.358804
1967.858394,6069.688724,1628.453072,-75383.797003
1967.860886,2960.823768,4145.153275,-75690.235202
1967.863378,9622.677246,1924.535449,-75843.454302
1967.865870,2072.576638,3404.947333,-74004.825107
1967.868363,9326.594869,1184.329507,-76149.892501
1967.870855,-740.205942,5477.523971,-75230.577904
1967.873347,4441.235652,6809.894666,-75537.016103
1967.875839,9622.677246,4145.153275,-75843.454302
1967.878331,-12879.583391,7550.100608,-73851.606007
1967.880823,6217.729913,11251.130318,-75383.797003
1967.883315,-5181.441594,13471.748144,-75690.235202
1967.885807,-2664.741391,11399.171507,-74311.263306
1967.888299,2960.823768,8882.471304,-74770.920605
1967.890791,2664.741391,4885.359217,-75383.797003
1967.893283,2960.823768,4441.235652,-74311.263306
1967.895775,-2368.659014,4293.194464,-75537.016103
1967.898267,-1332.370696,7994.224174,-76303.111601
1967.900759,-2220.617826,11103.089130,-74311.263306
1967.903139,-2516.700203,11547.212695,-75077.358804
1967.905519,-296.082377,11843.295072,-74770.920605
1967.907899,2516.700203,6513.812290,-75537.016103
1967.910280,3552.988522,4293.194464,-75537.016103
1967.912660,-6365.771101,7994.224174,-74004.825107
1967.915040,3552.988522,8290.306550,-76303.111601
1967.917420,-6217.729913,9918.759623,-75690.235202
1967.919800,5181.441594,6809.894666,-73545.167808
1967.922180,-3404.947333,10214.842000,-73698.386908
1967.924561,592.164754,9622.677246,-74924.139704
1967.926941,-3701.029710,14656.077652,-74464.482406
1967.929321,592.164754,11251.130318,-75383.797003
1967.931701,-4441.235652,8882.471304,-74311.263306
1967.934081,10658.965565,3997.112087,-75996.673402
1967.936462,-5625.565159,4145.153275,-75690.235202
1967.938842,5181.441594,5181.441594,-75537.016103
1967.941222,-10955.047942,11547.212695,-75077.358804
1967.943602,-5181.441594,14804.118840,-75383.797003
1967.945982,10066.800811,12435.459826,-74770.920605
1967.948362,-10214.842000,8586.388927,-73851.606007
1967.950743,-2072.576638,9178.553681,-75077.358804
1967.953123,26055.249158,1184.329507,-75690.235202
1967.955503,-8734.430116,-1924.535449,-75077.358804
1967.957883,-12139.377449,8586.388927,-75537.016103
1967.960263,26647.413912,9770.718434,-76456.330700
1967.962643,-3404.947333,8734.430116,-74311.263306
1967.965024,-14656.077652,5329.482782,-73545.167808
1967.967404,26055.249158,1332.370696,-76303.111601
1967.969784,6513.812290,-1628.453072,-75537.016103
1967.972164,-11991.336260,1924.535449,-73698.386908
1967.974544,11991.336260,1184.329507,-77988.521696
1967.976924,-888.247130,7105.977043,-75843.454302
1967.979305,-1184.329507,10807.006753,-73085.510509
1967.981685,9770.718434,8734.430116,-75230.577904
1967.984065,5329.482782,5329.482782,-75690.235202
1967.986445,11399.171507,3997.112087,-73238.729609
1967.988825,148.041188,1332.370696,-76149.892501
1967.991205,2812.782580,1184.329507,-77682.083497
1967.993586,2516.700203,3701.029710,-75230.577904
1967.995966,-740.205942,4145.153275,-75230.577904
1967.998429,4441.235652,5181.441594,-74924.139704
1968.000893,5477.523971,5477.523971,-75230.577904
1968.003357,2072.576638,5477.523971,-74464.482406
1968.005821,6513.812290,6069.688724,-74617.701505
1968.008284,-1184.329507,7402.059420,-75996.673402
1968.010748,4737.318029,4885.359217,-76149.892501
1968.013212,4589.276840,5773.606348,-74158.044206
1968.015675,9622.677246,1184.329507,-75077.358804
1968.018139,-1924.535449,1184.329507,-75230.577904
1968.020603,7698.141797,1332.370696,-75843.454302
1968.023067,1184.329507,5921.647536,-74617.701505
1968.025530,8586.388927,4885.359217,-76303.111601
1968.027994,5033.400406,2368.659014,-75537.016103
1968.030458,-444.123565,3108.864956,-74158.044206
1968.032921,296.082377,7402.059420,-74464.482406
1968.035385,2960.823768,9474.636058,-74617.701505
1968.037849,8290.306550,6069.688724,-75383.797003
1968.040313,4441.235652,2664.741391,-75230.577904
1968.042776,0.000000,1184.329507,-74924.139704
1968.045240,10510.924376,1332.370696,-76915.987999
1968.047704,13471.748144,-4145.153275,-77069.207099
1968.050167,-35974.008781,7402.059420,-73085.510509
1968.052631,21465.972318,14359.995275,-77069.207099
1968.055095,15544.324782,14952.160028,-76609.549800
1968.057559,-18949.272115,9918.759623,-72472.634111
1968.060022,8290.306550,8734.430116,-74770.920605
1968.062486,11399.171507,4589.276840,-74311.263306
1968.064950,-20429.683999,3997.112087,-74311.263306
1968.067413,2072.576638,4885.359217,-76762.768900
1968.069877,-592.164754,9474.636058,-75537.016103
1968.072341,-6661.853478,11251.130318,-74158.044206
1968.074804,5477.523971,10362.883188,-74158.044206
1968.077268,-296.082377,9622.677246,-74464.482406
1968.079732,5181.441594,9326.594869,-73851.606007
1968.082196,0.000000,6957.935855,-74617.701505
1968.084659,-5921.647536,4737.318029,-76762.768900
1968.087123,-2516.700203,7254.018232,-76456.330700
1968.089587,3552.988522,10362.883188,-73085.510509
1968.092050,1480.411884,11103.089130,-73085.510509
1968.094514,-740.205942,10955.047942,-74770.920605
1968.097034,4737.318029,6661.853478,-74770.920605
1968.099554,-3108.864956,8290.306550,-74158.044206
1968.102073,-1776.494261,7254.018232,-75077.358804
1968.104593,2812.782580,9474.636058,-75996.673402
1968.107112,-888.247130,10955.047942,-74004.825107
1968.109632,1480.411884,10955.047942,-73698.386908
1968.112152,-6069.688724,10362.883188,-74924.139704
1968.114671,3552.988522,9326.594869,-76149.892501
1968.117191,-5773.606348,13471.748144,-73085.510509
1968.119711,14063.912898,5625.565159,-76456.330700
1968.122230,-8882.471304,5033.400406,-75996.673402
1968.124750,7994.224174,2220.617826,-76303.111601
1968.127270,-15100.201217,10510.924376,-73851.606007
1968.129789,2516.700203,11399.171507,-76149.892501
1968.132309,4737.318029,13471.748144,-75077.358804
1968.134829,-3997.112087,9622.677246,-74617.701505
1968.137348,2220.617826,9178.553681,-75383.797003
1968.139868,22354.219448,1480.411884,-75690.235202
1968.142388,-14211.954086,592.164754,-75383.797003
1968.144907,-9030.512492,9770.718434,-75537.016103
1968.147427,27535.661042,9178.553681,-75537.016103
1968.149947,-8438.347739,6069.688724,-73851.606007
1968.152466,-12731.542202,4145.153275,-73851.606007
1968.154986,28868.031738,740.205942,-75230.577904
1968.157506,4441.235652,-1480.411884,-75690.235202
1968.160025,-13619.789333,3849.070898,-75996.673402
1968.162545,17320.819043,2516.700203,-78141.740796
1968.165065,-6217.729913,8290.306550,-75077.358804
1968.167584,3404.947333,8438.347739,-73391.948708
1968.170104,6069.688724,7846.182985,-75383.797003
1968.172624,7698.141797,3552.988522,-75383.797003
1968.175143,3701.029710,4145.153275,-73085.510509
1968.177663,2516.700203,-592.164754,-76456.330700
1968.180183,444.123565,296.082377,-77835.302597
1968.182702,-1924.535449,5033.400406,-74924.139704
1968.185222,5329.482782,6069.688724,-74924.139704
1968.187742,5773.606348,6661.853478,-75230.577904
1968.190261,1924.535449,5033.400406,-73851.606007
1968.192781,7698.141797,5477.523971,-74004.825107
1968.195301,740.205942,7846.182985,-74311.263306
1968.197856,8290.306550,6661.853478,-76762.768900
1968.200412,1924.535449,6661.853478,-75690.235202
1968.202968,7846.182985,2072.576638,-74617.701505
1968.205523,3552.988522,0.000000,-75383.797003
1968.208079,444.123565,1184.329507,-76456.330700
1968.210635,7698.141797,3552.988522,-75843.454302
1968.213190,9178.553681,3404.947333,-75537.016103
1968.215746,-3849.070898,3997.112087,-75690.235202
1968.218302,5773.606348,5921.647536,-75690.235202
1968.220857,-296.082377,9326.594869,-74158.044206
1968.223413,5477.523971,8882.471304,-74924.139704
1968.225969,13027.624579,3552.988522,-76609.549800
1968.228524,-3108.864956,888.247130,-75537.016103
1968.231080,592.164754,1184.329507,-75996.673402
1968.233636,20281.642811,-1036.288319,-77375.645298
1968.236192,888.247130,-3997.112087,-76762.768900
1968.238747,-35529.885216,14804.118840,-74158.044206
1968.241303,30644.525999,15396.283594,-74617.701505
1968.243859,-21021.848753,15100.201217,-73545.167808
1968.246414,-10510.924376,9770.718434,-74311.263306
1968.248970,17468.860231,7846.182985,-74770.920605
1968.251526,1924.535449,4145.153275,-74464.482406
1968.254081,-14804.118840,4885.359217,-75383.797003
1968.256637,8142.265362,6365.771101,-77988.521696
1968.259193,-4885.359217,9030.512492,-75537.016103
1968.261748,2960.823768,11843.295072,-73698.386908
1968.264304,4589.276840,10955.047942,-75690.235202
1968.266860,-3701.029710,9474.636058,-74158.044206
1968.269415,4293.194464,9030.512492,-72779.072310
1968.271971,-888.247130,5329.482782,-76303.111601
1968.274527,-5921.647536,4441.235652,-77528.864398
1968.277082,592.164754,5181.441594,-75537.016103
1968.279638,-1776.494261,9030.512492,-73851.606007
1968.282194,6809.894666,9770.718434,-75843.454302
1968.284749,-1628.453072,8142.265362,-74617.701505
1968.287305,-2072.576638,6809.894666,-74924.139704
1968.289861,4441.235652,6809.894666,-73698.386908
1968.292416,-2220.617826,8290.306550,-76303.111601
1968.294972,-2220.617826,10362.883188,-77069.207099
1968.297528,0.000000,11695.253884,-74311.263306
1968.300105,148.041188,10066.800811,-74464.482406
1968.302685,2812.782580,9178.553681,-75690.235202
1968.305264,-1184.329507,8586.388927,-74617.701505
1968.307843,2220.617826,7994.224174,-74311.263306
1968.310422,-148.041188,5921.647536,-76303.111601
1968.313001,-7846.182985,9622.677246,-76303.111601
1968.315580,-3404.947333,12879.583391,-74311.263306
1968.318159,10510.924376,11251.130318,-73851.606007
1968.320738,-2664.741391,9178.553681,-74770.920605
1968.323317,-3256.906145,9474.636058,-75077.358804
1968.325896,18653.189738,5625.565159,-75230.577904
1968.328475,-3108.864956,2812.782580,-74311.263306
1968.331054,-15692.365970,7550.100608,-75537.016103
1968.333633,17764.942608,11695.253884,-75843.454302
1968.336213,15248.242405,5625.565159,-74770.920605
1968.338792,-23834.631332,3108.864956,-73085.510509
1968.341371,24870.919651,444.123565,-76762.768900
1968.343950,6957.935855,1332.370696,-74617.701505
1968.346529,-15840.407159,2368.659014,-73238.729609
1968.349108,14804.118840,3404.947333,-77375.645298
1968.351687,-1776.494261,8734.430116,-75077.358804
1968.354266,-4737.318029,10066.800811,-73545.167808
1968.356845,7994.224174,9326.594869,-74617.701505
1968.359424,8142.265362,5181.441594,-75383.797003
1968.362003,1332.370696,3256.906145,-73698.386908
1968.364582,9474.636058,-592.164754,-76303.111601
1968.367161,1036.288319,444.123565,-77835.302597
1968.369741,-1776.494261,3849.070898,-75996.673402
1968.372320,8142.265362,7402.059420,-74617.701505
1968.374899,-2368.659014,8290.306550,-74924.139704
1968.377478,10066.800811,2664.741391,-75690.235202
1968.380057,-8142.265362,4885.359217,-74004.825107
1968.382636,17320.819043,6365.771101,-74311.263306
1968.385215,-296.082377,7550.100608,-76609.549800
1968.387794,4145.153275,3552.988522,-76609.549800
1968.390373,4145.153275,1480.411884,-72932.291410
1968.392952,5477.523971,1332.370696,-74158.044206
1968.395531,5773.606348,1924.535449,-76609.549800
1968.398110,12435.459826,740.205942,-76762.768900
1968.400689,-6809.894666,5625.565159,-73391.948708
1968.403188,8586.388927,3552.988522,-76149.892501
1968.405686,-5033.400406,6661.853478,-75537.016103
1968.408184,5773.606348,9030.512492,-74311.263306
1968.410682,14359.995275,4885.359217,-74158.044206
1968.413180,-1332.370696,1776.494261,-75383.797003
1968.415678,-296.082377,740.205942,-76149.892501
1968.418176,19837.519246,-2368.659014,-77222.426198
1968.420675,-1036.288319,-3849.070898,-75843.454302
1968.423173,-32569.061448,13175.665768,-74311.263306
1968.425671,35677.926404,13915.871710,-75537.016103
1968.428169,-17912.983796,17320.819043,-72166.195912
1968.430667,-12731.542202,10807.006753,-73545.167808
1968.433165,16284.530724,7550.100608,-75383.797003
1968.435663,1924.535449,4441.235652,-74924.139704
1968.438162,-15840.407159,5033.400406,-75383.797003
1968.440660,5921.647536,7105.977043,-77835.302597
1968.443158,148.041188,10066.800811,-75843.454302
1968.445656,-6809.894666,13175.665768,-72932.291410
1968.448154,7994.224174,10955.047942,-75230.577904
1968.450652,-3552.988522,10066.800811,-74770.920605
1968.453150,740.205942,11251.130318,-73085.510509
1968.455649,3108.864956,6069.688724,-76303.111601
1968.458147,-3256.906145,5625.565159,-76303.111601
1968.460645,3997.112087,7698.141797,-74924.139704
1968.463143,-4737.318029,9474.636058,-73391.948708
1968.465641,6957.935855,9178.553681,-75843.454302
1968.468139,-7698.141797,10214.842000,-75077.358804
1968.470637,5329.482782,6365.771101,-75230.577904
1968.473136,-9770.718434,8142.265362,-73545.167808
1968.475634,5033.400406,8438.347739,-75996.673402
1968.478132,-6217.729913,12583.501014,-75996.673402
1968.480630,1480.411884,11843.295072,-74464.482406
1968.483128,2812.782580,10510.924376,-74004.825107
1968.485626,-1628.453072,5625.565159,-75843.454302
1968.488124,888.247130,7846.182985,-75843.454302
1968.490623,-3849.070898,8438.347739,-74617.701505
1968.493121,-8438.347739,13027.624579,-76149.892501
1968.495619,3256.906145,12879.583391,-75843.454302
1968.498117,3256.906145,7846.182985,-74004.825107
1968.500615,-8882.471304,6365.771101,-73238.729609
1968.503152,5921.647536,7402.059420,-75383.797003
1968.505688,13323.706956,4737.318029,-76456.330700
1968.508224,-11843.295072,3997.112087,-75077.358804
1968.510761,-5625.565159,11695.253884,-75537.016103
1968.513297,18357.107362,10510.924376,-75537.016103
1968.515834,-444.123565,3701.029710,-74770.920605
1968.518370,-5033.400406,888.247130,-75077.358804
1968.520907,29608.237680,-1036.288319,-76609.549800
1968.523443,2220.617826,-592.164754,-75537.016103
1968.525979,-11695.253884,2516.700203,-75690.235202
1968.528516,15988.448347,2220.617826,-76915.987999
1968.531052,-6809.894666,8586.388927,-74311.263306
1968.533589,3552.988522,10362.883188,-74158.044206
1968.536125,4145.153275,10658.965565,-75230.577904
1968.538662,7698.141797,6661.853478,-74004.825107
1968.541198,6809.894666,1332.370696,-74924.139704
1968.543734,1628.453072,-2664.741391,-76609.549800
1968.546271,9178.553681,-148.041188,-76456.330700
1968.548807,-740.205942,8290.306550,-74464.482406
1968.551344,148.041188,11251.130318,-74311.263306
1968.553880,12731.542202,5033.400406,-76762.768900
1968.556417,-10510.924376,5033.400406,-74004.825107
1968.558953,18357.107362,2072.576638,-74617.701505
1968.561489,1184.329507,7846.182985,-75690.235202
1968.564026,5625.565159,3997.112087,-77069.207099
1968.566562,5477.523971,3108.864956,-75230.577904
1968.569099,2516.700203,-148.041188,-73391.948708
1968.571635,9918.759623,0.000000,-75077.358804
1968.574172,2516.700203,1776.494261,-76149.892501
1968.576708,888.247130,7254.018232,-75690.235202
1968.579244,3404.947333,10066.800811,-74617.701505
1968.581781,148.041188,7105.977043,-75077.358804
1968.584317,11103.089130,4885.359217,-75077.358804
1968.586854,12879.583391,-444.123565,-74004.825107
1968.589390,-7550.100608,3701.029710,-73085.510509
1968.591927,10066.800811,3108.864956,-76456.330700
