#time,accel_x,accel_y,accel_z
12789.725109,-2368.659014,5921.647536,-75843.454302
12789.727662,2516.700203,6513.812290,-72932.291410
12789.730214,2072.576638,6513.812290,-73545.167808
12789.732767,3552.988522,6217.729913,-74464.482406
12789.735319,4145.153275,8438.347739,-75230.577904
12789.737871,2220.617826,5033.400406,-72625.853210
12789.740424,-1184.329507,5773.606348,-73391.948708
12789.742976,3701.029710,5329.482782,-74617.701505
12789.745529,11991.336260,5625.565159,-72779.072310
12789.748081,-1628.453072,6661.853478,-74311.263306
12789.750633,-1924.535449,4145.153275,-75996.673402
12789.753186,4737.318029,6069.688724,-73085.510509
12789.755738,3849.070898,2072.576638,-72625.853210
12789.758291,6809.894666,-296.082377,-75230.577904
12789.760843,-740.205942,2072.576638,-73698.386908
12789.763395,-2072.576638,3552.988522,-74158.044206
12789.765948,5329.482782,1332.370696,-77682.083497
12789.768500,10955.047942,1036.288319,-74464.482406
12789.771053,13323.706956,4589.276840,-74464.482406
12789.773605,1332.370696,9622.677246,-74158.044206
12789.776157,-8734.430116,14359.995275,-74770.920605
12789.778710,-1332.370696,11251.130318,-71400.100414
12789.781262,296.082377,7994.224174,-73085.510509
12789.783815,1924.535449,7698.141797,-75996.673402
12789.786367,3404.947333,7105.977043,-74004.825107
12789.788919,-740.205942,4293.194464,-75996.673402
12789.791472,-9474.636058,8290.306550,-74617.701505
12789.794024,-1776.494261,7698.141797,-75537.016103
12789.796577,740.205942,6069.688724,-73851.606007
12789.799130,8734.430116,13027.624579,-73545.167808
12789.801684,11991.336260,10658.965565,-74158.044206
12789.804238,296.082377,7698.141797,-72166.195912
12789.806792,-10066.800811,6661.853478,-73545.167808
12789.809345,-296.082377,5477.523971,-74617.701505
12789.811899,592.164754,9918.759623,-74004.825107
12789.814453,2812.782580,6217.729913,-73391.948708
12789.817007,1184.329507,6069.688724,-74770.920605
12789.819560,-5921.647536,8142.265362,-71246.881314
12789.822114,-2072.576638,7550.100608,-75996.673402
12789.824668,296.082377,7254.018232,-75690.235202
12789.827222,5181.441594,14063.912898,-71246.881314
12789.829775,5033.400406,13175.665768,-72472.634111
12789.832329,-1036.288319,9178.553681,-74158.044206
12789.834883,1184.329507,9474.636058,-71553.319513
12789.837437,592.164754,4885.359217,-74158.044206
12789.839990,-8586.388927,6809.894666,-77528.864398
12789.842544,-4589.276840,9474.636058,-74770.920605
12789.845098,148.041188,6217.729913,-73085.510509
12789.847652,7105.977043,5033.400406,-74004.825107
12789.850205,3404.947333,7994.224174,-75230.577904
12789.852759,-7105.977043,10066.800811,-74311.263306
12789.855313,-8290.306550,14508.036463,-73851.606007
12789.857867,3256.906145,11251.130318,-74924.139704
12789.860420,7550.100608,14952.160028,-70940.443115
12789.862974,444.123565,13767.830521,-73851.606007
12789.865528,16432.571912,-1776.494261,-76303.111601
12789.868082,5033.400406,-8438.347739,-74158.044206
12789.870635,-11843.295072,-3849.070898,-74158.044206
12789.873189,-1036.288319,-2960.823768,-77835.302597
12789.875743,10658.965565,5033.400406,-75077.358804
12789.878297,12287.418637,13471.748144,-71553.319513
12789.880851,6957.935855,11695.253884,-74004.825107
12789.883404,5329.482782,9918.759623,-72166.195912
12789.885958,-2664.741391,6513.812290,-72166.195912
12789.888512,4885.359217,3552.988522,-76609.549800
12789.891066,1776.494261,740.205942,-75537.016103
12789.893619,11103.089130,0.000000,-73698.386908
