#time,accel_x,accel_y,accel_z
8709.601784,11399.171507,4441.235652,-72932.291410
8709.604369,3701.029710,592.164754,-74617.701505
8709.606954,-148.041188,3256.906145,-74617.701505
8709.609539,1628.453072,0.000000,-74617.701505
8709.612124,1924.535449,4145.153275,-72625.853210
8709.614709,2960.823768,5773.606348,-74617.701505
8709.617294,12435.459826,6069.688724,-75230.577904
8709.619879,4589.276840,5625.565159,-73085.510509
8709.622464,4293.194464,6365.771101,-72625.853210
8709.625049,-4737.318029,8586.388927,-75996.673402
8709.627634,-592.164754,7254.018232,-74617.701505
8709.630219,6661.853478,4737.318029,-73391.948708
8709.632804,6513.812290,6809.894666,-73698.386908
8709.635389,148.041188,9178.553681,-75077.358804
8709.637974,-2960.823768,9030.512492,-74004.825107
8709.640559,-5773.606348,7846.182985,-75077.358804
8709.643144,-1184.329507,9622.677246,-72779.072310
8709.645728,1480.411884,8290.306550,-74004.825107
8709.648313,5329.482782,9326.594869,-72625.853210
8709.650898,-1036.288319,9326.594869,-74004.825107
8709.653483,-2368.659014,7550.100608,-74924.139704
8709.656068,-3997.112087,5921.647536,-74464.482406
8709.658670,-1480.411884,6365.771101,-73698.386908
8709.661272,2072.576638,12583.501014,-72932.291410
8709.663875,1184.329507,8438.347739,-74311.263306
8709.666477,2220.617826,8586.388927,-75537.016103
8709.669079,-4145.153275,6661.853478,-74311.263306
8709.671681,0.000000,8882.471304,-74004.825107
8709.674283,-7402.059420,8882.471304,-75383.797003
8709.676885,2368.659014,11547.212695,-73238.729609
8709.679487,-888.247130,11843.295072,-71553.319513
8709.682089,6365.771101,9178.553681,-74311.263306
8709.684691,1628.453072,7105.977043,-75230.577904
8709.687293,-1184.329507,7550.100608,-72472.634111
8709.689895,-4737.318029,8882.471304,-72625.853210
8709.692498,-6069.688724,9622.677246,-74617.701505
8709.695100,0.000000,7698.141797,-74924.139704
8709.697702,9030.512492,5181.441594,-72012.976812
8709.700304,5181.441594,7994.224174,-73238.729609
8709.702906,-5329.482782,12287.418637,-74770.920605
8709.705508,-11103.089130,12287.418637,-73698.386908
8709.708110,1480.411884,6365.771101,-74924.139704
8709.710712,7698.141797,11399.171507,-73545.167808
8709.713314,7698.141797,3849.070898,-76915.987999
8709.715916,10214.842000,-1036.288319,-74158.044206
8709.718518,148.041188,888.247130,-74158.044206
8709.721121,-4145.153275,5921.647536,-74311.263306
8709.723723,-4885.359217,740.205942,-77375.645298
8709.726325,9178.553681,4293.194464,-73238.729609
8709.728927,11843.295072,7846.182985,-73238.729609
8709.731529,4737.318029,8882.471304,-75690.235202
8709.734131,-148.041188,2960.823768,-75690.235202
8709.736733,5625.565159,1924.535449,-73851.606007
8709.739335,2664.741391,-148.041188,-72319.415011
8709.741948,-740.205942,444.123565,-77222.426198
8709.744560,4293.194464,4293.194464,-75383.797003
8709.747173,11103.089130,8586.388927,-70327.566716
8709.749786,1036.288319,8290.306550,-74158.044206
8709.752398,1036.288319,3552.988522,-75843.454302
8709.755011,8290.306550,6069.688724,-72012.976812
8709.757624,6217.729913,5181.441594,-72012.976812
8709.760236,-592.164754,3256.906145,-76149.892501
8709.762849,1480.411884,148.041188,-76762.768900
8709.765462,9326.594869,6217.729913,-72472.634111
8709.768074,-1036.288319,8290.306550,-72932.291410
8709.770687,5329.482782,4441.235652,-77222.426198
8709.773300,740.205942,6661.853478,-73545.167808
8709.775912,12879.583391,4589.276840,-71246.881314
8709.778525,6365.771101,2368.659014,-75996.673402
8709.781137,4737.318029,-1480.411884,-76762.768900
8709.783750,-4441.235652,3404.947333,-73085.510509
8709.786363,-444.123565,7994.224174,-73085.510509
8709.788975,888.247130,8290.306550,-74770.920605
8709.791588,5773.606348,6957.935855,-75077.358804
8709.794201,11843.295072,2960.823768,-72932.291410
8709.796813,10362.883188,3256.906145,-74311.263306
8709.799426,-2368.659014,444.123565,-75690.235202
8709.802039,-4885.359217,1776.494261,-74311.263306
8709.804651,9326.594869,-1480.411884,-74770.920605
8709.807264,6661.853478,4145.153275,-72166.195912
