#time,accel_x,accel_y,accel_z
11657.141104,1924.535449,6957.935855,-74617.701505
11657.143674,3108.864956,8290.306550,-73851.606007
11657.146243,4589.276840,4441.235652,-73391.948708
11657.148813,10214.842000,8142.265362,-73698.386908
11657.151382,7698.141797,8586.388927,-75383.797003
11657.153955,1776.494261,7846.182985,-72932.291410
11657.156528,4737.318029,10214.842000,-72166.195912
11657.159101,3108.864956,11103.089130,-74311.263306
11657.161674,5773.606348,14656.077652,-74464.482406
11657.164246,3701.029710,13767.830521,-74311.263306
11657.166819,7846.182985,12583.501014,-72166.195912
11657.169392,-3701.029710,1184.329507,-74464.482406
11657.171965,-5625.565159,-740.205942,-75077.358804
11657.174538,9918.759623,1480.411884,-74311.263306
11657.177110,11399.171507,7994.224174,-75383.797003
11657.179683,9474.636058,11695.253884,-75077.358804
11657.182256,-9030.512492,5625.565159,-72625.853210
11657.184829,-10066.800811,3552.988522,-70940.443115
11657.187402,-6069.688724,3849.070898,-75230.577904
11657.189974,4737.318029,8290.306550,-75230.577904
11657.192547,8586.388927,4441.235652,-74004.825107
11657.195120,3849.070898,-148.041188,-73085.510509
11657.197693,-4589.276840,0.000000,-73698.386908
11657.200266,-9622.677246,5033.400406,-74770.920605
11657.202838,-3849.070898,7550.100608,-74464.482406
11657.205411,8734.430116,9474.636058,-73545.167808
11657.207984,6513.812290,3849.070898,-75690.235202
11657.210557,1332.370696,148.041188,-74617.701505
11657.213130,-2960.823768,5033.400406,-73545.167808
11657.215702,1628.453072,8142.265362,-74004.825107
11657.218275,-5033.400406,7550.100608,-75383.797003
11657.220848,-3108.864956,4441.235652,-75230.577904
11657.223421,592.164754,-740.205942,-75077.358804
11657.225994,3997.112087,2516.700203,-73851.606007
11657.228566,-5921.647536,3701.029710,-75383.797003
11657.231139,-4441.235652,2664.741391,-75383.797003
11657.233712,1776.494261,740.205942,-73851.606007
11657.236285,2072.576638,3256.906145,-74004.825107
11657.238858,8438.347739,7254.018232,-74924.139704
11657.241430,1332.370696,6661.853478,-73391.948708
11657.244003,-5921.647536,6809.894666,-72625.853210
11657.246576,-8290.306550,2072.576638,-73698.386908
11657.249149,-2516.700203,4737.318029,-74617.701505
11657.251722,10658.965565,7402.059420,-74464.482406
11657.254294,4293.194464,3701.029710,-76149.892501
