freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.622e+01,1.005e+01,1.584e+02,1.847e+02
1.6,1.971e+01,2.520e+01,1.083e+02,1.532e+02
3.1,1.411e+01,2.746e+01,3.884e+01,8.040e+01
4.7,1.336e+01,2.221e+01,3.790e+02,4.145e+02
6.2,1.453e+01,2.159e+01,1.324e+03,1.360e+03
7.8,1.485e+01,2.702e+01,2.320e+03,2.362e+03
9.4,1.567e+01,4.468e+01,3.357e+03,3.417e+03
10.9,1.594e+01,6.014e+01,3.249e+03,3.325e+03
12.5,1.426e+01,3.848e+01,3.826e+03,3.879e+03
14.0,1.461e+01,2.905e+01,5.657e+03,5.701e+03
15.6,1.756e+01,3.285e+01,7.919e+03,7.969e+03
17.2,1.919e+01,3.737e+01,9.993e+03,1.005e+04
18.7,2.080e+01,3.909e+01,1.226e+04,1.232e+04
20.3,2.235e+01,4.082e+01,1.524e+04,1.530e+04
21.8,2.982e+01,4.516e+01,1.859e+04,1.867e+04
23.4,3.851e+01,4.952e+01,2.222e+04,2.230e+04
24.9,4.275e+01,5.848e+01,2.650e+04,2.660e+04
26.5,3.444e+01,6.648e+01,3.156e+04,3.166e+04
28.1,2.387e+01,8.883e+01,3.706e+04,3.718e+04
29.6,5.064e+01,1.095e+02,4.274e+04,4.290e+04
31.2,9.912e+01,1.153e+02,4.973e+04,4.995e+04
32.7,1.473e+02,1.051e+02,5.761e+04,5.786e+04
34.3,2.058e+02,1.197e+02,6.258e+04,6.291e+04
35.9,2.286e+02,1.450e+02,6.605e+04,6.642e+04
37.4,2.658e+02,1.734e+02,6.620e+04,6.664e+04
39.0,3.185e+02,1.713e+02,5.940e+04,5.989e+04
40.5,3.687e+02,1.762e+02,5.397e+04,5.451e+04
42.1,5.031e+02,3.136e+02,6.181e+04,6.263e+04
43.7,6.807e+02,3.298e+02,7.748e+04,7.849e+04
45.2,9.500e+02,3.917e+02,9.827e+04,9.961e+04
46.8,1.503e+03,8.890e+02,1.321e+05,1.345e+05
48.3,2.763e+03,1.499e+03,1.919e+05,1.961e+05
49.9,6.723e+03,1.924e+03,3.083e+05,3.170e+05
51.5,1.086e+04,2.882e+03,4.001e+05,4.139e+05
53.0,9.819e+03,3.635e+03,3.389e+05,3.523e+05
54.6,6.761e+03,3.211e+03,2.102e+05,2.201e+05
56.1,4.605e+03,2.725e+03,1.332e+05,1.405e+05
57.7,3.159e+03,2.170e+03,1.091e+05,1.144e+05
59.3,2.650e+03,1.870e+03,9.530e+04,9.982e+04
60.8,3.408e+03,1.601e+03,8.063e+04,8.564e+04
62.4,3.722e+03,1.277e+03,6.542e+04,7.042e+04
63.9,4.901e+03,1.215e+03,5.869e+04,6.481e+04
65.5,7.119e+03,1.876e+03,5.914e+04,6.813e+04
67.0,7.360e+03,3.059e+03,5.415e+04,6.457e+04
68.6,4.599e+03,4.169e+03,4.034e+04,4.911e+04
70.2,2.466e+03,4.677e+03,2.907e+04,3.621e+04
71.7,2.289e+03,5.868e+03,2.823e+04,3.639e+04
73.3,3.278e+03,6.316e+03,3.146e+04,4.105e+04
74.8,3.768e+03,5.327e+03,3.053e+04,3.963e+04
76.4,3.757e+03,4.445e+03,3.027e+04,3.847e+04
78.0,4.154e+03,3.504e+03,3.109e+04,3.875e+04
79.5,5.380e+03,2.689e+03,3.181e+04,3.988e+04
81.1,6.659e+03,2.046e+03,3.157e+04,4.028e+04
82.6,8.043e+03,1.671e+03,3.028e+04,4.000e+04
84.2,9.986e+03,1.493e+03,2.903e+04,4.051e+04
85.8,1.234e+04,1.384e+03,2.788e+04,4.161e+04
87.3,1.417e+04,1.351e+03,2.567e+04,4.118e+04
88.9,1.609e+04,1.444e+03,2.339e+04,4.092e+04
90.4,1.820e+04,1.666e+03,2.008e+04,3.995e+04
92.0,1.895e+04,2.014e+03,1.555e+04,3.651e+04
93.6,1.712e+04,2.358e+03,1.172e+04,3.120e+04
95.1,1.230e+04,2.620e+03,1.022e+04,2.514e+04
96.7,6.880e+03,2.732e+03,1.034e+04,1.995e+04
98.2,3.784e+03,2.646e+03,1.047e+04,1.690e+04
99.8,5.270e+03,3.271e+03,1.241e+04,2.095e+04
101.4,1.688e+04,5.538e+03,1.489e+04,3.730e+04
102.9,2.649e+04,5.942e+03,1.512e+04,4.755e+04
104.5,3.102e+04,5.141e+03,1.417e+04,5.033e+04
106.0,3.941e+04,3.862e+03,1.536e+04,5.863e+04
107.6,6.051e+04,3.110e+03,1.802e+04,8.163e+04
109.1,8.818e+04,3.356e+03,2.030e+04,1.118e+05
110.7,1.048e+05,3.355e+03,2.040e+04,1.286e+05
112.3,1.038e+05,3.192e+03,1.887e+04,1.258e+05
113.8,8.363e+04,2.656e+03,1.699e+04,1.033e+05
115.4,5.945e+04,2.153e+03,1.508e+04,7.668e+04
116.9,4.671e+04,1.985e+03,1.413e+04,6.282e+04
118.5,4.092e+04,1.855e+03,1.373e+04,5.650e+04
120.1,3.589e+04,1.789e+03,1.384e+04,5.153e+04
121.6,3.193e+04,1.755e+03,1.357e+04,4.725e+04
123.2,3.056e+04,1.603e+03,1.294e+04,4.509e+04
124.7,3.141e+04,1.496e+03,1.172e+04,4.463e+04
126.3,3.561e+04,1.538e+03,1.072e+04,4.786e+04
127.9,3.984e+04,1.624e+03,9.709e+03,5.118e+04
129.4,4.105e+04,1.654e+03,9.001e+03,5.171e+04
131.0,3.599e+04,1.454e+03,8.512e+03,4.595e+04
132.5,2.705e+04,1.194e+03,6.073e+03,3.432e+04
134.1,7.554e+03,1.004e+03,2.037e+03,1.060e+04
135.7,2.267e+03,1.064e+03,1.007e+03,4.338e+03
137.2,1.888e+03,1.076e+03,8.808e+02,3.844e+03
138.8,1.876e+03,9.290e+02,9.078e+02,3.713e+03
140.3,1.861e+03,9.093e+02,8.890e+02,3.659e+03
141.9,1.860e+03,7.686e+02,8.828e+02,3.511e+03
143.5,2.134e+03,1.578e+03,9.520e+02,4.664e+03
145.0,2.156e+03,3.487e+03,1.161e+03,6.805e+03
146.6,1.978e+03,4.551e+03,1.509e+03,8.038e+03
148.1,1.738e+03,5.217e+03,2.013e+03,8.968e+03
149.7,1.804e+03,1.049e+04,4.492e+03,1.678e+04
151.2,1.565e+03,3.535e+04,1.402e+04,5.094e+04
152.8,2.041e+03,6.052e+04,2.601e+04,8.857e+04
154.4,1.794e+03,5.190e+04,2.336e+04,7.705e+04
155.9,1.203e+03,4.210e+04,1.874e+04,6.204e+04
157.5,7.112e+02,3.265e+04,1.449e+04,4.785e+04
159.0,3.574e+02,2.276e+04,1.034e+04,3.346e+04
160.6,3.494e+02,1.805e+04,8.732e+03,2.714e+04
162.2,9.851e+02,2.043e+04,1.047e+04,3.188e+04
163.7,2.013e+03,2.500e+04,1.353e+04,4.054e+04
165.3,2.496e+03,2.410e+04,1.390e+04,4.050e+04
166.8,2.285e+03,1.909e+04,1.155e+04,3.292e+04
168.4,1.994e+03,1.500e+04,9.435e+03,2.643e+04
170.0,1.792e+03,1.249e+04,8.194e+03,2.248e+04
171.5,1.276e+03,8.872e+03,6.165e+03,1.631e+04
173.1,9.071e+02,5.825e+03,4.350e+03,1.108e+04
174.6,7.792e+02,5.017e+03,3.805e+03,9.602e+03
176.2,6.091e+02,3.810e+03,3.029e+03,7.448e+03
177.8,4.653e+02,2.850e+03,2.386e+03,5.701e+03
179.3,4.342e+02,2.699e+03,2.227e+03,5.361e+03
180.9,4.900e+02,2.884e+03,2.250e+03,5.624e+03
182.4,7.852e+02,3.221e+03,2.587e+03,6.593e+03
184.0,1.691e+03,4.829e+03,4.639e+03,1.116e+04
185.6,2.315e+03,6.756e+03,7.075e+03,1.615e+04
187.1,1.755e+03,6.545e+03,6.816e+03,1.512e+04
188.7,1.286e+03,7.129e+03,6.825e+03,1.524e+04
190.2,1.344e+03,8.590e+03,7.792e+03,1.773e+04
191.8,1.438e+03,8.866e+03,8.200e+03,1.850e+04
193.3,1.318e+03,8.399e+03,7.870e+03,1.759e+04
194.9,1.285e+03,8.010e+03,7.378e+03,1.667e+04
196.5,1.766e+03,7.158e+03,7.262e+03,1.619e+04
198.0,3.473e+03,1.005e+04,1.209e+04,2.561e+04
199.6,4.857e+03,1.357e+04,1.712e+04,3.555e+04
