freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.915e+01,5.660e+02,7.052e+01,7.056e+02
1.6,2.588e+02,6.834e+02,8.032e+01,1.023e+03
3.1,2.494e+02,3.983e+02,5.445e+01,7.021e+02
4.7,2.832e+02,6.295e+02,5.703e+01,9.697e+02
6.2,2.961e+02,1.438e+03,6.447e+01,1.798e+03
7.8,2.601e+02,2.179e+03,6.556e+01,2.505e+03
9.4,2.857e+02,2.979e+03,6.325e+01,3.328e+03
10.9,2.942e+02,3.701e+03,5.896e+01,4.054e+03
12.5,2.960e+02,4.151e+03,6.299e+01,4.510e+03
14.0,2.680e+02,4.966e+03,6.372e+01,5.298e+03
15.6,2.651e+02,6.203e+03,7.044e+01,6.538e+03
17.1,2.834e+02,7.651e+03,7.182e+01,8.006e+03
18.7,2.737e+02,9.317e+03,7.724e+01,9.668e+03
20.3,2.586e+02,1.111e+04,7.800e+01,1.145e+04
21.8,2.443e+02,1.315e+04,8.027e+01,1.347e+04
23.4,2.772e+02,1.532e+04,8.773e+01,1.568e+04
24.9,2.922e+02,1.792e+04,9.774e+01,1.831e+04
26.5,2.731e+02,2.078e+04,1.134e+02,2.117e+04
28.1,2.664e+02,2.374e+04,1.274e+02,2.413e+04
29.6,2.701e+02,2.648e+04,1.320e+02,2.688e+04
31.2,2.784e+02,2.972e+04,1.484e+02,3.014e+04
32.7,2.691e+02,3.415e+04,1.717e+02,3.459e+04
34.3,2.728e+02,3.951e+04,1.833e+02,3.997e+04
35.9,3.171e+02,4.604e+04,1.993e+02,4.656e+04
37.4,3.891e+02,5.411e+04,2.210e+02,5.472e+04
39.0,4.541e+02,6.341e+04,2.699e+02,6.414e+04
40.5,5.503e+02,7.515e+04,3.483e+02,7.605e+04
42.1,6.955e+02,8.902e+04,3.976e+02,9.011e+04
43.7,8.913e+02,1.062e+05,4.995e+02,1.076e+05
45.2,1.108e+03,1.277e+05,5.986e+02,1.294e+05
46.8,1.313e+03,1.567e+05,6.619e+02,1.587e+05
48.3,1.582e+03,1.943e+05,7.945e+02,1.967e+05
49.9,1.878e+03,2.413e+05,1.072e+03,2.442e+05
51.4,2.195e+03,2.973e+05,1.306e+03,3.008e+05
53.0,2.496e+03,3.700e+05,1.580e+03,3.740e+05
54.6,2.875e+03,4.827e+05,2.429e+03,4.880e+05
56.1,3.709e+03,6.619e+05,4.173e+03,6.698e+05
57.7,6.567e+03,9.309e+05,5.605e+03,9.430e+05
59.2,1.179e+04,1.409e+06,5.170e+03,1.426e+06
60.8,2.014e+04,2.055e+06,6.754e+03,2.082e+06
62.4,2.883e+04,2.556e+06,1.703e+04,2.602e+06
63.9,3.561e+04,2.977e+06,3.414e+04,3.047e+06
65.5,2.842e+04,2.831e+06,3.874e+04,2.898e+06
67.0,1.528e+04,2.031e+06,3.922e+04,2.086e+06
68.6,8.394e+03,1.323e+06,3.635e+04,1.368e+06
70.2,4.527e+03,7.977e+05,2.657e+04,8.288e+05
71.7,2.733e+03,4.618e+05,1.636e+04,4.809e+05
73.3,1.893e+03,2.615e+05,9.406e+03,2.728e+05
74.8,1.403e+03,1.519e+05,5.884e+03,1.592e+05
76.4,1.311e+03,1.029e+05,4.599e+03,1.089e+05
77.9,1.231e+03,7.179e+04,4.011e+03,7.703e+04
79.5,1.213e+03,4.452e+04,3.534e+03,4.927e+04
81.1,1.442e+03,2.651e+04,3.184e+03,3.114e+04
82.6,1.766e+03,1.636e+04,2.755e+03,2.088e+04
84.2,2.178e+03,1.083e+04,2.422e+03,1.543e+04
85.7,2.705e+03,8.188e+03,2.362e+03,1.326e+04
87.3,3.484e+03,7.600e+03,2.361e+03,1.345e+04
88.9,4.339e+03,8.116e+03,1.934e+03,1.439e+04
90.4,5.011e+03,8.915e+03,1.485e+03,1.541e+04
