freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.785e+04,2.249e+03,1.513e+03,9.161e+04
1.5,2.511e+05,9.517e+03,7.392e+03,2.680e+05
3.1,3.002e+05,9.855e+03,9.192e+03,3.192e+05
4.6,3.378e+05,1.039e+04,9.915e+03,3.581e+05
6.1,4.487e+05,1.210e+04,1.092e+04,4.717e+05
7.6,6.345e+05,1.334e+04,1.124e+04,6.591e+05
9.2,7.026e+05,1.333e+04,9.616e+03,7.255e+05
10.7,6.395e+05,1.302e+04,9.978e+03,6.625e+05
12.2,5.845e+05,1.619e+04,9.120e+03,6.098e+05
13.7,6.423e+05,1.724e+04,9.293e+03,6.688e+05
15.3,7.282e+05,1.606e+04,9.082e+03,7.534e+05
16.8,8.119e+05,1.474e+04,9.523e+03,8.362e+05
18.3,9.553e+05,1.435e+04,8.785e+03,9.784e+05
19.9,1.125e+06,1.358e+04,9.261e+03,1.147e+06
21.4,1.318e+06,1.464e+04,8.719e+03,1.341e+06
22.9,1.507e+06,1.503e+04,7.227e+03,1.530e+06
24.4,1.690e+06,1.285e+04,8.387e+03,1.711e+06
26.0,1.929e+06,1.135e+04,8.909e+03,1.949e+06
27.5,2.312e+06,1.876e+04,1.050e+04,2.342e+06
29.0,3.030e+06,3.790e+04,1.726e+04,3.085e+06
30.6,3.398e+06,3.587e+04,1.602e+04,3.450e+06
32.1,3.763e+06,2.320e+04,1.080e+04,3.797e+06
33.6,4.007e+06,1.417e+04,1.058e+04,4.032e+06
35.1,4.501e+06,1.189e+04,1.054e+04,4.524e+06
36.7,5.242e+06,1.163e+04,1.063e+04,5.265e+06
38.2,6.250e+06,1.018e+04,1.056e+04,6.271e+06
39.7,7.278e+06,9.772e+03,1.052e+04,7.299e+06
41.2,8.651e+06,1.205e+04,1.020e+04,8.674e+06
42.8,1.043e+07,1.553e+04,1.191e+04,1.046e+07
44.3,1.248e+07,1.757e+04,1.227e+04,1.251e+07
45.8,1.542e+07,1.616e+04,1.319e+04,1.544e+07
47.4,1.960e+07,1.535e+04,1.570e+04,1.963e+07
