freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.259e+01,5.269e+00,1.392e+02,1.571e+02
1.6,1.733e+01,1.644e+01,1.001e+02,1.339e+02
3.1,1.423e+01,1.815e+01,3.807e+01,7.044e+01
4.7,1.443e+01,1.821e+01,3.604e+02,3.930e+02
6.2,1.399e+01,2.335e+01,1.258e+03,1.295e+03
7.8,1.403e+01,2.588e+01,2.223e+03,2.263e+03
9.4,1.511e+01,4.030e+01,3.195e+03,3.250e+03
10.9,1.360e+01,4.813e+01,3.026e+03,3.087e+03
12.5,1.323e+01,3.072e+01,3.521e+03,3.565e+03
14.0,1.505e+01,2.654e+01,5.112e+03,5.154e+03
15.6,1.483e+01,2.900e+01,7.256e+03,7.300e+03
17.1,1.581e+01,3.517e+01,9.341e+03,9.392e+03
18.7,1.812e+01,3.862e+01,1.117e+04,1.123e+04
20.3,2.011e+01,4.220e+01,1.355e+04,1.361e+04
21.8,2.823e+01,4.169e+01,1.642e+04,1.649e+04
23.4,3.979e+01,4.465e+01,2.023e+04,2.031e+04
24.9,3.827e+01,5.622e+01,2.443e+04,2.452e+04
26.5,2.837e+01,5.982e+01,2.888e+04,2.897e+04
28.1,2.035e+01,7.867e+01,3.382e+04,3.392e+04
29.6,4.737e+01,9.772e+01,3.839e+04,3.854e+04
31.2,9.928e+01,1.052e+02,4.321e+04,4.341e+04
32.7,1.341e+02,1.116e+02,5.167e+04,5.192e+04
34.3,1.958e+02,1.324e+02,6.316e+04,6.348e+04
35.9,2.509e+02,1.512e+02,7.948e+04,7.989e+04
37.4,3.573e+02,1.941e+02,1.015e+05,1.020e+05
39.0,5.646e+02,2.028e+02,1.179e+05,1.187e+05
40.5,7.687e+02,2.037e+02,1.315e+05,1.325e+05
42.1,6.881e+02,2.662e+02,1.006e+05,1.016e+05
43.6,4.522e+02,1.794e+02,5.089e+04,5.152e+04
45.2,5.058e+02,1.589e+02,5.003e+04,5.070e+04
46.8,7.167e+02,3.259e+02,6.100e+04,6.204e+04
48.3,1.058e+03,5.253e+02,7.634e+04,7.793e+04
49.9,1.514e+03,5.919e+02,9.367e+04,9.577e+04
51.4,2.240e+03,7.565e+02,1.175e+05,1.205e+05
53.0,3.256e+03,1.285e+03,1.488e+05,1.533e+05
54.6,4.655e+03,1.993e+03,1.661e+05,1.728e+05
56.1,5.000e+03,1.951e+03,1.429e+05,1.498e+05
57.7,4.320e+03,1.991e+03,1.229e+05,1.292e+05
59.2,3.946e+03,1.968e+03,1.082e+05,1.141e+05
60.8,4.732e+03,2.206e+03,8.705e+04,9.399e+04
62.4,4.657e+03,2.226e+03,6.820e+04,7.508e+04
63.9,4.914e+03,2.413e+03,6.023e+04,6.756e+04
65.5,5.977e+03,3.331e+03,5.626e+04,6.557e+04
67.0,6.086e+03,4.212e+03,4.973e+04,6.003e+04
68.6,4.181e+03,4.723e+03,3.771e+04,4.662e+04
70.2,2.107e+03,4.745e+03,2.609e+04,3.295e+04
71.7,1.635e+03,4.621e+03,2.063e+04,2.689e+04
73.3,2.681e+03,4.178e+03,2.376e+04,3.062e+04
74.8,3.253e+03,3.875e+03,2.723e+04,3.436e+04
76.4,3.404e+03,3.892e+03,2.981e+04,3.710e+04
77.9,4.312e+03,3.339e+03,3.320e+04,4.085e+04
79.5,5.872e+03,2.807e+03,3.483e+04,4.350e+04
81.1,7.545e+03,2.648e+03,3.505e+04,4.524e+04
82.6,9.158e+03,2.536e+03,3.381e+04,4.551e+04
84.2,1.120e+04,1.863e+03,3.229e+04,4.535e+04
85.7,1.338e+04,1.045e+03,3.013e+04,4.455e+04
87.3,1.503e+04,9.703e+02,2.700e+04,4.300e+04
88.9,1.668e+04,1.272e+03,2.359e+04,4.154e+04
90.4,1.762e+04,1.657e+03,1.915e+04,3.843e+04
92.0,1.680e+04,1.946e+03,1.414e+04,3.288e+04
93.5,1.382e+04,2.305e+03,1.035e+04,2.647e+04
95.1,8.592e+03,2.621e+03,9.356e+03,2.057e+04
96.7,5.021e+03,2.726e+03,1.156e+04,1.930e+04
98.2,4.138e+03,2.397e+03,1.144e+04,1.798e+04
99.8,3.248e+03,2.076e+03,1.237e+04,1.769e+04
101.3,5.589e+03,1.769e+03,1.488e+04,2.224e+04
102.9,7.258e+03,1.739e+03,1.485e+04,2.384e+04
104.4,6.110e+03,2.155e+03,1.450e+04,2.277e+04
106.0,8.734e+03,2.428e+03,1.686e+04,2.802e+04
107.6,2.178e+04,2.563e+03,1.942e+04,4.376e+04
109.1,5.836e+04,2.780e+03,2.113e+04,8.227e+04
110.7,1.084e+05,3.187e+03,2.140e+04,1.330e+05
112.2,1.250e+05,3.479e+03,2.032e+04,1.488e+05
113.8,1.111e+05,3.408e+03,1.859e+04,1.331e+05
115.4,9.210e+04,3.054e+03,1.678e+04,1.119e+05
116.9,7.978e+04,2.655e+03,1.537e+04,9.780e+04
118.5,6.998e+04,2.282e+03,1.498e+04,8.724e+04
120.0,5.763e+04,2.098e+03,1.488e+04,7.461e+04
121.6,5.001e+04,2.104e+03,1.457e+04,6.668e+04
123.2,4.557e+04,2.020e+03,1.348e+04,6.107e+04
124.7,4.484e+04,1.875e+03,1.186e+04,5.858e+04
126.3,4.807e+04,1.767e+03,1.075e+04,6.059e+04
