freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.006e+01,6.455e+02,5.899e+01,7.445e+02
1.6,1.436e+02,6.552e+02,8.296e+01,8.817e+02
3.1,1.298e+02,2.885e+02,6.046e+01,4.787e+02
4.7,1.290e+02,6.456e+02,6.148e+01,8.361e+02
6.2,1.336e+02,1.465e+03,6.169e+01,1.661e+03
7.8,1.441e+02,2.217e+03,6.078e+01,2.422e+03
9.4,1.738e+02,3.097e+03,6.231e+01,3.333e+03
10.9,1.709e+02,3.950e+03,6.589e+01,4.186e+03
12.5,1.494e+02,4.358e+03,6.852e+01,4.576e+03
14.0,1.467e+02,5.220e+03,6.768e+01,5.434e+03
15.6,1.454e+02,6.534e+03,6.405e+01,6.744e+03
17.2,1.537e+02,7.933e+03,6.603e+01,8.153e+03
18.7,1.572e+02,9.564e+03,7.638e+01,9.798e+03
20.3,1.666e+02,1.160e+04,8.039e+01,1.185e+04
21.8,1.703e+02,1.364e+04,7.456e+01,1.389e+04
23.4,1.706e+02,1.594e+04,7.786e+01,1.619e+04
25.0,1.769e+02,1.843e+04,9.063e+01,1.870e+04
26.5,1.865e+02,2.148e+04,9.646e+01,2.176e+04
28.1,1.801e+02,2.463e+04,1.125e+02,2.493e+04
29.7,1.873e+02,2.753e+04,1.163e+02,2.783e+04
31.2,2.002e+02,3.073e+04,1.251e+02,3.105e+04
32.8,2.004e+02,3.526e+04,1.509e+02,3.561e+04
34.3,2.141e+02,4.099e+04,1.619e+02,4.137e+04
35.9,2.836e+02,4.729e+04,1.682e+02,4.774e+04
37.5,3.939e+02,5.556e+04,1.864e+02,5.614e+04
39.0,4.951e+02,6.582e+04,2.271e+02,6.654e+04
40.6,6.004e+02,7.877e+04,3.055e+02,7.967e+04
42.1,7.713e+02,9.355e+04,3.606e+02,9.469e+04
43.7,9.869e+02,1.113e+05,4.434e+02,1.127e+05
45.3,1.206e+03,1.345e+05,5.393e+02,1.362e+05
46.8,1.495e+03,1.663e+05,6.112e+02,1.684e+05
48.4,1.821e+03,2.096e+05,7.335e+02,2.122e+05
49.9,2.180e+03,2.598e+05,8.787e+02,2.628e+05
51.5,2.630e+03,3.226e+05,1.082e+03,3.263e+05
53.1,2.995e+03,4.101e+05,1.354e+03,4.145e+05
54.6,3.388e+03,5.294e+05,1.898e+03,5.347e+05
56.2,4.328e+03,7.245e+05,2.686e+03,7.315e+05
57.7,6.972e+03,1.021e+06,3.272e+03,1.032e+06
59.3,1.325e+04,1.605e+06,2.710e+03,1.621e+06
60.9,2.290e+04,2.375e+06,6.096e+03,2.404e+06
62.4,2.909e+04,2.715e+06,2.114e+04,2.765e+06
64.0,2.925e+04,2.660e+06,3.939e+04,2.728e+06
65.5,1.965e+04,2.098e+06,4.225e+04,2.160e+06
67.1,8.875e+03,1.305e+06,3.641e+04,1.350e+06
68.7,4.615e+03,7.923e+05,2.756e+04,8.245e+05
70.2,2.981e+03,4.933e+05,1.797e+04,5.142e+05
71.8,2.151e+03,3.061e+05,1.093e+04,3.192e+05
73.3,1.679e+03,1.898e+05,6.433e+03,1.979e+05
74.9,1.482e+03,1.303e+05,4.544e+03,1.363e+05
76.5,1.337e+03,9.510e+04,4.055e+03,1.005e+05
78.0,1.238e+03,6.526e+04,3.381e+03,6.988e+04
79.6,1.235e+03,4.291e+04,2.640e+03,4.678e+04
81.2,1.361e+03,2.793e+04,1.778e+03,3.107e+04
82.7,1.668e+03,1.956e+04,1.231e+03,2.246e+04
84.3,2.297e+03,1.447e+04,1.096e+03,1.786e+04
85.8,2.928e+03,1.100e+04,1.422e+03,1.535e+04
87.4,2.951e+03,8.504e+03,1.745e+03,1.320e+04
89.0,3.446e+03,8.259e+03,1.508e+03,1.321e+04
90.5,3.609e+03,9.172e+03,1.040e+03,1.382e+04
92.1,3.039e+03,8.492e+03,6.580e+02,1.219e+04
93.6,2.828e+03,8.787e+03,6.702e+02,1.228e+04
95.2,2.676e+03,1.053e+04,1.077e+03,1.428e+04
96.8,2.603e+03,9.417e+03,2.024e+03,1.404e+04
98.3,3.326e+03,9.277e+03,3.353e+03,1.596e+04
99.9,4.102e+03,1.013e+04,4.455e+03,1.869e+04
101.4,3.971e+03,1.468e+04,4.245e+03,2.289e+04
103.0,6.062e+03,2.012e+04,2.792e+03,2.898e+04
104.6,1.057e+04,2.752e+04,1.790e+03,3.988e+04
106.1,1.631e+04,3.720e+04,1.900e+03,5.541e+04
107.7,2.085e+04,4.430e+04,2.700e+03,6.785e+04
109.2,2.251e+04,4.711e+04,3.500e+03,7.311e+04
110.8,2.488e+04,5.092e+04,3.953e+03,7.976e+04
112.4,2.884e+04,5.852e+04,4.318e+03,9.168e+04
113.9,2.720e+04,6.601e+04,4.982e+03,9.818e+04
115.5,2.191e+04,7.394e+04,6.072e+03,1.019e+05
117.0,2.141e+04,8.460e+04,7.733e+03,1.137e+05
118.6,2.338e+04,9.715e+04,9.320e+03,1.298e+05
120.2,2.546e+04,1.123e+05,1.094e+04,1.487e+05
121.7,2.912e+04,1.297e+05,1.254e+04,1.713e+05
123.3,3.160e+04,1.456e+05,1.414e+04,1.913e+05
124.8,3.665e+04,1.622e+05,1.596e+04,2.148e+05
126.4,4.313e+04,1.798e+05,1.777e+04,2.407e+05
128.0,4.478e+04,1.990e+05,1.955e+04,2.634e+05
129.5,4.389e+04,2.314e+05,2.195e+04,2.972e+05
131.1,4.007e+04,2.607e+05,2.516e+04,3.260e+05
132.6,2.671e+04,1.916e+05,1.930e+04,2.376e+05
134.2,1.090e+04,3.791e+04,3.616e+03,5.243e+04
135.8,6.623e+03,1.555e+04,1.094e+03,2.326e+04
137.3,4.555e+03,1.586e+04,1.396e+03,2.181e+04
138.9,3.491e+03,1.645e+04,1.595e+03,2.154e+04
140.5,2.754e+03,1.922e+04,1.817e+03,2.379e+04
142.0,2.016e+03,2.036e+04,2.051e+03,2.442e+04
143.6,1.506e+03,2.087e+04,2.194e+03,2.457e+04
145.1,1.233e+03,2.226e+04,2.089e+03,2.558e+04
146.7,9.435e+02,2.156e+04,1.847e+03,2.435e+04
148.3,6.726e+02,2.519e+04,2.645e+03,2.851e+04
149.8,6.423e+02,3.549e+04,4.293e+03,4.042e+04
151.4,8.123e+02,4.315e+04,5.910e+03,4.987e+04
152.9,1.060e+03,4.385e+04,6.256e+03,5.117e+04
154.5,1.238e+03,4.024e+04,5.919e+03,4.740e+04
156.1,1.445e+03,3.745e+04,5.648e+03,4.455e+04
157.6,1.716e+03,3.538e+04,5.391e+03,4.249e+04
159.2,2.098e+03,3.293e+04,4.992e+03,4.002e+04
160.7,2.361e+03,3.058e+04,4.769e+03,3.771e+04
162.3,2.317e+03,2.871e+04,4.772e+03,3.579e+04
163.9,2.563e+03,2.898e+04,5.334e+03,3.687e+04
165.4,2.846e+03,3.064e+04,6.311e+03,3.979e+04
167.0,3.067e+03,3.567e+04,8.595e+03,4.734e+04
168.5,3.312e+03,4.188e+04,1.161e+04,5.680e+04
170.1,3.658e+03,5.165e+04,1.564e+04,7.094e+04
171.7,4.195e+03,5.756e+04,1.812e+04,7.988e+04
173.2,4.970e+03,6.421e+04,2.068e+04,8.986e+04
174.8,6.040e+03,7.605e+04,2.584e+04,1.079e+05
176.3,7.533e+03,9.939e+04,3.760e+04,1.445e+05
177.9,8.579e+03,1.396e+05,5.816e+04,2.063e+05
179.5,9.393e+03,1.834e+05,8.486e+04,2.776e+05
181.0,1.002e+04,2.241e+05,1.102e+05,3.443e+05
182.6,1.104e+04,2.401e+05,1.234e+05,3.746e+05
184.1,1.382e+04,2.329e+05,1.248e+05,3.716e+05
185.7,1.712e+04,2.173e+05,1.267e+05,3.611e+05
187.3,1.931e+04,2.174e+05,1.419e+05,3.786e+05
188.8,1.973e+04,2.230e+05,1.596e+05,4.024e+05
190.4,1.865e+04,2.090e+05,1.562e+05,3.839e+05
192.0,1.606e+04,1.761e+05,1.296e+05,3.218e+05
193.5,1.392e+04,1.470e+05,1.075e+05,2.684e+05
195.1,1.126e+04,1.196e+05,8.844e+04,2.193e+05
196.6,9.968e+03,1.047e+05,8.122e+04,1.959e+05
198.2,8.258e+03,8.444e+04,6.851e+04,1.612e+05
199.8,8.033e+03,6.665e+04,5.856e+04,1.332e+05
