freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.196e+01,5.498e+02,5.022e+01,6.520e+02
1.6,2.261e+02,5.622e+02,7.278e+01,8.611e+02
3.1,2.949e+02,3.335e+02,6.567e+01,6.941e+02
4.7,3.332e+02,6.033e+02,6.674e+01,1.003e+03
6.2,2.553e+02,1.375e+03,5.877e+01,1.689e+03
7.8,2.760e+02,2.125e+03,5.881e+01,2.460e+03
9.4,3.164e+02,2.980e+03,6.325e+01,3.360e+03
10.9,3.677e+02,3.768e+03,6.674e+01,4.202e+03
12.5,3.383e+02,4.164e+03,6.875e+01,4.571e+03
14.0,2.940e+02,5.032e+03,7.072e+01,5.397e+03
15.6,3.301e+02,6.303e+03,8.049e+01,6.714e+03
17.2,3.852e+02,7.725e+03,7.895e+01,8.190e+03
18.7,3.971e+02,9.439e+03,7.777e+01,9.913e+03
20.3,3.520e+02,1.142e+04,8.047e+01,1.185e+04
21.8,3.247e+02,1.352e+04,8.295e+01,1.393e+04
23.4,3.238e+02,1.574e+04,9.276e+01,1.616e+04
24.9,3.450e+02,1.835e+04,9.263e+01,1.879e+04
26.5,3.670e+02,2.133e+04,1.114e+02,2.180e+04
28.1,3.437e+02,2.441e+04,1.128e+02,2.487e+04
29.6,3.103e+02,2.718e+04,1.134e+02,2.761e+04
31.2,3.025e+02,3.036e+04,1.265e+02,3.079e+04
32.7,3.138e+02,3.489e+04,1.433e+02,3.535e+04
34.3,3.541e+02,4.035e+04,1.612e+02,4.087e+04
35.9,4.163e+02,4.655e+04,1.759e+02,4.715e+04
37.4,4.427e+02,5.462e+04,1.926e+02,5.526e+04
39.0,5.258e+02,6.446e+04,2.326e+02,6.522e+04
40.5,6.341e+02,7.730e+04,2.970e+02,7.823e+04
42.1,8.274e+02,9.277e+04,3.410e+02,9.394e+04
43.7,1.031e+03,1.109e+05,3.931e+02,1.123e+05
45.2,1.256e+03,1.356e+05,4.796e+02,1.373e+05
46.8,1.536e+03,1.690e+05,5.317e+02,1.711e+05
48.3,1.871e+03,2.113e+05,6.189e+02,2.138e+05
49.9,2.182e+03,2.594e+05,8.547e+02,2.625e+05
51.5,2.480e+03,3.194e+05,1.139e+03,3.230e+05
53.0,2.669e+03,4.039e+05,1.332e+03,4.079e+05
54.6,3.131e+03,5.310e+05,1.980e+03,5.361e+05
56.1,4.434e+03,7.340e+05,3.260e+03,7.417e+05
57.7,7.544e+03,1.023e+06,4.536e+03,1.035e+06
59.2,1.355e+04,1.591e+06,4.523e+03,1.609e+06
60.8,2.284e+04,2.401e+06,7.713e+03,2.432e+06
62.4,3.152e+04,2.944e+06,2.120e+04,2.996e+06
63.9,3.600e+04,3.187e+06,3.680e+04,3.259e+06
65.5,2.689e+04,2.766e+06,4.060e+04,2.833e+06
67.0,1.346e+04,1.854e+06,4.177e+04,1.909e+06
68.6,7.282e+03,1.193e+06,3.867e+04,1.239e+06
70.2,4.119e+03,7.303e+05,2.691e+04,7.613e+05
71.7,2.689e+03,4.176e+05,1.503e+04,4.353e+05
73.3,1.823e+03,2.337e+05,7.851e+03,2.434e+05
74.8,1.100e+03,1.340e+05,4.689e+03,1.398e+05
76.4,9.532e+02,8.709e+04,3.419e+03,9.146e+04
78.0,9.603e+02,5.815e+04,2.856e+03,6.197e+04
79.5,9.497e+02,3.628e+04,2.525e+03,3.975e+04
81.1,1.126e+03,2.098e+04,2.146e+03,2.425e+04
82.6,1.386e+03,1.239e+04,1.889e+03,1.566e+04
