freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.373e+01,5.514e+02,6.196e+01,6.771e+02
1.6,2.570e+02,4.070e+02,9.285e+01,7.569e+02
3.1,3.427e+02,1.497e+02,6.520e+01,5.575e+02
4.7,2.509e+02,5.038e+02,5.495e+01,8.096e+02
6.2,2.341e+02,1.326e+03,6.127e+01,1.622e+03
7.8,2.791e+02,2.102e+03,7.141e+01,2.453e+03
9.4,2.713e+02,2.977e+03,6.711e+01,3.315e+03
10.9,2.852e+02,3.787e+03,6.744e+01,4.140e+03
12.5,2.714e+02,4.271e+03,6.913e+01,4.611e+03
14.0,2.711e+02,5.163e+03,7.021e+01,5.505e+03
15.6,2.658e+02,6.496e+03,7.283e+01,6.835e+03
17.2,2.546e+02,7.953e+03,7.667e+01,8.284e+03
18.7,2.460e+02,9.723e+03,7.832e+01,1.005e+04
20.3,2.555e+02,1.175e+04,8.605e+01,1.209e+04
21.8,2.895e+02,1.379e+04,9.273e+01,1.417e+04
23.4,3.035e+02,1.619e+04,1.033e+02,1.659e+04
25.0,2.765e+02,1.876e+04,1.048e+02,1.914e+04
26.5,2.945e+02,2.185e+04,1.115e+02,2.225e+04
28.1,3.038e+02,2.509e+04,1.175e+02,2.551e+04
29.6,3.038e+02,2.796e+04,1.271e+02,2.839e+04
31.2,3.046e+02,3.115e+04,1.457e+02,3.160e+04
32.8,3.181e+02,3.583e+04,1.673e+02,3.631e+04
34.3,3.469e+02,4.173e+04,1.826e+02,4.226e+04
35.9,3.837e+02,4.834e+04,1.923e+02,4.891e+04
37.4,4.519e+02,5.671e+04,2.072e+02,5.737e+04
39.0,5.884e+02,6.760e+04,2.459e+02,6.844e+04
40.5,7.284e+02,8.131e+04,3.327e+02,8.237e+04
42.1,8.926e+02,9.758e+04,3.955e+02,9.887e+04
43.7,1.142e+03,1.174e+05,4.580e+02,1.190e+05
45.2,1.430e+03,1.439e+05,5.306e+02,1.459e+05
46.8,1.728e+03,1.797e+05,5.976e+02,1.820e+05
48.3,2.062e+03,2.230e+05,6.543e+02,2.257e+05
49.9,2.408e+03,2.742e+05,8.119e+02,2.775e+05
51.5,2.828e+03,3.434e+05,1.052e+03,3.473e+05
53.0,3.407e+03,4.427e+05,1.499e+03,4.476e+05
54.6,3.879e+03,5.814e+05,2.143e+03,5.875e+05
56.1,5.006e+03,8.132e+05,3.140e+03,8.213e+05
57.7,8.676e+03,1.159e+06,4.212e+03,1.171e+06
59.3,1.613e+04,1.772e+06,3.924e+03,1.792e+06
60.8,2.741e+04,2.584e+06,9.441e+03,2.620e+06
62.4,3.597e+04,2.976e+06,2.734e+04,3.040e+06
63.9,3.682e+04,2.872e+06,4.494e+04,2.954e+06
65.5,2.463e+04,2.208e+06,4.497e+04,2.277e+06
67.1,1.095e+04,1.358e+06,3.934e+04,1.409e+06
68.6,5.778e+03,8.566e+05,3.072e+04,8.931e+05
70.2,3.624e+03,5.394e+05,1.910e+04,5.622e+05
71.7,2.659e+03,3.281e+05,1.038e+04,3.412e+05
73.3,2.046e+03,1.908e+05,5.430e+03,1.983e+05
74.9,1.513e+03,1.136e+05,3.345e+03,1.185e+05
76.4,1.318e+03,7.812e+04,2.854e+03,8.229e+04
78.0,1.229e+03,5.313e+04,2.422e+03,5.678e+04
