freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.364e+01,7.035e+00,1.165e+02,1.372e+02
1.6,1.774e+01,1.882e+01,8.556e+01,1.221e+02
3.1,1.280e+01,2.117e+01,3.533e+01,6.930e+01
4.7,1.297e+01,2.360e+01,3.660e+02,4.025e+02
6.2,1.406e+01,2.357e+01,1.264e+03,1.302e+03
7.8,1.341e+01,2.277e+01,2.234e+03,2.270e+03
9.4,1.363e+01,3.937e+01,3.254e+03,3.307e+03
10.9,1.468e+01,5.272e+01,3.057e+03,3.124e+03
12.5,1.533e+01,3.280e+01,3.572e+03,3.620e+03
14.0,1.390e+01,3.121e+01,5.212e+03,5.257e+03
15.6,1.521e+01,3.542e+01,7.350e+03,7.401e+03
17.1,1.614e+01,3.687e+01,9.290e+03,9.343e+03
18.7,1.748e+01,4.116e+01,1.096e+04,1.102e+04
20.3,2.112e+01,4.568e+01,1.313e+04,1.320e+04
21.8,2.923e+01,4.979e+01,1.577e+04,1.585e+04
23.4,3.552e+01,5.517e+01,1.921e+04,1.930e+04
24.9,3.301e+01,6.550e+01,2.331e+04,2.341e+04
26.5,2.807e+01,7.331e+01,2.665e+04,2.675e+04
28.1,2.342e+01,9.557e+01,2.909e+04,2.921e+04
29.6,4.536e+01,1.086e+02,2.920e+04,2.936e+04
31.2,7.273e+01,1.083e+02,2.454e+04,2.472e+04
32.7,9.646e+01,1.106e+02,2.163e+04,2.183e+04
34.3,1.234e+02,1.429e+02,2.215e+04,2.242e+04
35.9,1.283e+02,1.451e+02,2.295e+04,2.322e+04
37.4,1.248e+02,1.422e+02,2.319e+04,2.345e+04
39.0,1.626e+02,1.063e+02,2.512e+04,2.539e+04
40.5,2.262e+02,9.561e+01,3.009e+04,3.042e+04
42.1,3.188e+02,1.585e+02,3.852e+04,3.899e+04
43.7,4.444e+02,1.888e+02,5.050e+04,5.113e+04
45.2,6.487e+02,2.318e+02,6.723e+04,6.811e+04
46.8,9.755e+02,4.355e+02,9.048e+04,9.189e+04
48.3,1.532e+03,6.673e+02,1.204e+05,1.226e+05
49.9,2.707e+03,8.268e+02,1.680e+05,1.715e+05
51.4,5.174e+03,1.301e+03,2.340e+05,2.405e+05
53.0,6.863e+03,1.652e+03,2.398e+05,2.483e+05
54.6,5.841e+03,2.190e+03,1.819e+05,1.900e+05
56.1,4.579e+03,2.536e+03,1.341e+05,1.412e+05
57.7,3.596e+03,2.317e+03,1.082e+05,1.141e+05
59.2,3.493e+03,1.839e+03,9.395e+04,9.928e+04
60.8,4.384e+03,1.525e+03,8.096e+04,8.687e+04
62.4,4.435e+03,1.440e+03,6.593e+04,7.180e+04
63.9,4.947e+03,1.575e+03,5.915e+04,6.567e+04
65.5,5.542e+03,2.323e+03,5.516e+04,6.303e+04
67.0,5.226e+03,3.435e+03,4.760e+04,5.626e+04
68.6,3.317e+03,4.635e+03,3.518e+04,4.313e+04
70.2,1.534e+03,4.392e+03,2.324e+04,2.916e+04
71.7,1.183e+03,3.303e+03,1.651e+04,2.099e+04
73.3,1.897e+03,2.276e+03,1.459e+04,1.876e+04
74.8,2.196e+03,1.750e+03,1.405e+04,1.800e+04
76.4,2.760e+03,2.474e+03,2.005e+04,2.528e+04
77.9,4.570e+03,2.959e+03,3.183e+04,3.936e+04
79.5,6.510e+03,2.406e+03,3.690e+04,4.582e+04
81.1,7.748e+03,1.801e+03,3.562e+04,4.517e+04
82.6,8.953e+03,1.444e+03,3.290e+04,4.329e+04
84.2,1.086e+04,1.296e+03,3.120e+04,4.336e+04
85.7,1.331e+04,1.228e+03,3.013e+04,4.467e+04
87.3,1.521e+04,1.205e+03,2.752e+04,4.393e+04
88.9,1.683e+04,1.268e+03,2.416e+04,4.226e+04
90.4,1.769e+04,1.456e+03,1.945e+04,3.860e+04
92.0,1.683e+04,1.722e+03,1.438e+04,3.293e+04
93.5,1.429e+04,2.221e+03,1.068e+04,2.719e+04
95.1,9.263e+03,2.615e+03,8.806e+03,2.068e+04
96.7,4.760e+03,2.593e+03,8.636e+03,1.599e+04
98.2,2.289e+03,2.060e+03,8.988e+03,1.334e+04
99.8,2.176e+03,1.492e+03,1.172e+04,1.539e+04
101.3,5.076e+03,9.225e+02,1.480e+04,2.080e+04
102.9,1.056e+04,1.153e+03,1.522e+04,2.694e+04
104.4,2.280e+04,2.336e+03,1.435e+04,3.949e+04
106.0,4.080e+04,2.854e+03,1.560e+04,5.925e+04
107.6,6.246e+04,2.401e+03,1.787e+04,8.273e+04
109.1,8.699e+04,2.136e+03,1.970e+04,1.088e+05
110.7,1.049e+05,2.123e+03,1.990e+04,1.269e+05
112.2,1.062e+05,2.248e+03,1.839e+04,1.268e+05
113.8,9.291e+04,2.388e+03,1.655e+04,1.118e+05
115.4,7.304e+04,2.306e+03,1.499e+04,9.033e+04
116.9,5.938e+04,2.098e+03,1.415e+04,7.562e+04
118.5,5.326e+04,1.862e+03,1.385e+04,6.898e+04
120.0,4.627e+04,1.799e+03,1.353e+04,6.160e+04
121.6,4.088e+04,1.793e+03,1.294e+04,5.562e+04
123.2,3.873e+04,1.747e+03,1.212e+04,5.260e+04
124.7,3.937e+04,1.798e+03,1.111e+04,5.228e+04
126.3,4.256e+04,1.782e+03,1.001e+04,5.435e+04
127.8,4.608e+04,1.749e+03,9.449e+03,5.727e+04
129.4,4.758e+04,1.718e+03,9.511e+03,5.881e+04
131.0,4.687e+04,1.679e+03,9.989e+03,5.854e+04
132.5,3.395e+04,1.336e+03,8.068e+03,4.336e+04
134.1,7.883e+03,4.272e+02,2.208e+03,1.052e+04
135.6,1.959e+03,1.693e+02,8.736e+02,3.002e+03
137.2,1.559e+03,1.871e+02,9.114e+02,2.657e+03
138.7,1.244e+03,2.209e+02,9.150e+02,2.380e+03
140.3,1.132e+03,2.486e+02,9.017e+02,2.283e+03
141.9,1.023e+03,2.495e+02,8.607e+02,2.133e+03
143.4,9.052e+02,2.318e+02,8.362e+02,1.973e+03
145.0,8.369e+02,2.441e+02,8.353e+02,1.916e+03
146.5,7.960e+02,2.711e+02,8.024e+02,1.869e+03
148.1,7.383e+02,3.715e+02,8.479e+02,1.958e+03
149.7,7.012e+02,6.919e+02,1.037e+03,2.430e+03
151.2,7.896e+02,1.193e+03,1.355e+03,3.338e+03
152.8,1.076e+03,2.225e+03,1.885e+03,5.186e+03
154.3,1.660e+03,5.854e+03,4.005e+03,1.152e+04
155.9,1.275e+03,1.115e+04,5.576e+03,1.800e+04
157.5,8.481e+02,1.925e+04,8.211e+03,2.831e+04
159.0,9.832e+02,2.054e+04,9.306e+03,3.083e+04
160.6,1.050e+03,1.712e+04,8.223e+03,2.639e+04
162.1,1.294e+03,1.734e+04,8.750e+03,2.738e+04
163.7,1.459e+03,1.662e+04,9.005e+03,2.709e+04
165.2,1.469e+03,1.411e+04,8.404e+03,2.398e+04
166.8,1.228e+03,1.007e+04,7.167e+03,1.846e+04
168.4,9.158e+02,6.132e+03,5.135e+03,1.218e+04
169.9,8.892e+02,4.506e+03,4.104e+03,9.500e+03
171.5,9.608e+02,3.804e+03,4.033e+03,8.798e+03
173.0,8.788e+02,3.083e+03,3.784e+03,7.746e+03
174.6,6.967e+02,2.736e+03,3.154e+03,6.587e+03
176.2,4.568e+02,2.291e+03,2.580e+03,5.328e+03
177.7,2.782e+02,1.441e+03,1.622e+03,3.341e+03
179.3,2.574e+02,1.256e+03,1.214e+03,2.728e+03
180.8,2.981e+02,1.603e+03,1.381e+03,3.282e+03
182.4,4.739e+02,2.290e+03,1.963e+03,4.727e+03
184.0,1.137e+03,3.808e+03,3.595e+03,8.539e+03
185.5,1.619e+03,5.821e+03,5.658e+03,1.310e+04
187.1,1.102e+03,6.060e+03,5.673e+03,1.284e+04
188.6,7.177e+02,6.372e+03,5.674e+03,1.276e+04
190.2,8.215e+02,7.503e+03,6.628e+03,1.495e+04
191.7,8.135e+02,7.261e+03,6.491e+03,1.457e+04
193.3,6.949e+02,6.404e+03,5.883e+03,1.298e+04
194.9,6.541e+02,6.468e+03,5.951e+03,1.307e+04
196.4,6.298e+02,5.991e+03,5.593e+03,1.221e+04
198.0,7.829e+02,6.010e+03,5.938e+03,1.273e+04
199.5,9.387e+02,5.850e+03,6.010e+03,1.280e+04
