freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.570e+01,5.443e+02,5.394e+01,6.539e+02
1.6,2.913e+02,4.673e+02,6.973e+01,8.283e+02
3.1,2.982e+02,2.965e+02,5.451e+01,6.492e+02
4.7,3.178e+02,5.817e+02,5.911e+01,9.586e+02
6.2,3.061e+02,1.417e+03,5.648e+01,1.779e+03
7.8,2.877e+02,2.167e+03,5.719e+01,2.512e+03
9.4,2.769e+02,2.999e+03,5.424e+01,3.330e+03
10.9,2.963e+02,3.736e+03,5.680e+01,4.089e+03
12.5,2.779e+02,4.149e+03,6.140e+01,4.489e+03
14.0,2.771e+02,4.969e+03,6.435e+01,5.310e+03
15.6,3.081e+02,6.212e+03,6.625e+01,6.587e+03
17.1,3.198e+02,7.638e+03,6.872e+01,8.027e+03
18.7,3.228e+02,9.350e+03,7.541e+01,9.748e+03
20.3,3.037e+02,1.127e+04,8.446e+01,1.166e+04
21.8,3.110e+02,1.322e+04,9.028e+01,1.362e+04
23.4,3.272e+02,1.522e+04,9.552e+01,1.564e+04
24.9,3.172e+02,1.756e+04,1.031e+02,1.798e+04
26.5,3.505e+02,2.026e+04,1.155e+02,2.072e+04
28.1,3.432e+02,2.312e+04,1.313e+02,2.360e+04
29.6,3.432e+02,2.605e+04,1.328e+02,2.653e+04
31.2,3.176e+02,2.951e+04,1.507e+02,2.998e+04
32.7,3.208e+02,3.400e+04,1.686e+02,3.449e+04
34.3,3.708e+02,3.901e+04,1.863e+02,3.956e+04
35.8,4.363e+02,4.441e+04,1.967e+02,4.505e+04
37.4,5.037e+02,5.171e+04,1.982e+02,5.241e+04
39.0,5.983e+02,6.067e+04,2.321e+02,6.150e+04
40.5,7.056e+02,7.170e+04,3.251e+02,7.273e+04
42.1,8.103e+02,8.539e+04,3.799e+02,8.658e+04
43.6,1.000e+03,1.012e+05,4.510e+02,1.027e+05
45.2,1.205e+03,1.221e+05,5.521e+02,1.238e+05
46.8,1.440e+03,1.505e+05,6.354e+02,1.526e+05
48.3,1.651e+03,1.887e+05,8.145e+02,1.912e+05
49.9,1.898e+03,2.327e+05,1.106e+03,2.357e+05
51.4,2.294e+03,2.868e+05,1.370e+03,2.905e+05
53.0,2.821e+03,3.657e+05,1.552e+03,3.700e+05
54.6,3.464e+03,4.708e+05,1.756e+03,4.760e+05
56.1,4.819e+03,6.400e+05,2.434e+03,6.473e+05
57.7,7.542e+03,8.945e+05,2.951e+03,9.049e+05
59.2,1.322e+04,1.334e+06,2.614e+03,1.350e+06
60.8,2.176e+04,1.968e+06,7.228e+03,1.997e+06
62.3,2.949e+04,2.454e+06,1.923e+04,2.503e+06
63.9,3.328e+04,2.735e+06,3.181e+04,2.800e+06
65.5,2.633e+04,2.550e+06,3.563e+04,2.612e+06
67.0,1.555e+04,1.826e+06,3.833e+04,1.880e+06
68.6,9.453e+03,1.215e+06,3.599e+04,1.260e+06
70.1,5.818e+03,7.665e+05,2.531e+04,7.976e+05
71.7,3.846e+03,4.550e+05,1.423e+04,4.731e+05
73.3,2.313e+03,2.595e+05,7.867e+03,2.697e+05
74.8,1.511e+03,1.528e+05,4.738e+03,1.591e+05
76.4,1.457e+03,1.032e+05,3.645e+03,1.083e+05
77.9,1.353e+03,6.762e+04,3.109e+03,7.209e+04
79.5,1.242e+03,4.059e+04,2.492e+03,4.432e+04
81.1,1.281e+03,2.312e+04,2.039e+03,2.644e+04
82.6,1.496e+03,1.334e+04,1.649e+03,1.649e+04
84.2,1.797e+03,8.351e+03,1.503e+03,1.165e+04
85.7,1.991e+03,5.851e+03,1.559e+03,9.401e+03
87.3,2.061e+03,4.922e+03,1.467e+03,8.449e+03
88.8,2.166e+03,5.032e+03,1.159e+03,8.357e+03
90.4,2.414e+03,5.491e+03,8.003e+02,8.705e+03
92.0,2.277e+03,6.023e+03,5.116e+02,8.812e+03
93.5,2.032e+03,7.263e+03,6.191e+02,9.913e+03
95.1,2.146e+03,8.235e+03,1.315e+03,1.170e+04
96.6,2.740e+03,8.568e+03,2.472e+03,1.378e+04
98.2,3.751e+03,9.974e+03,3.305e+03,1.703e+04
99.8,5.242e+03,1.189e+04,3.238e+03,2.037e+04
101.3,5.843e+03,1.408e+04,3.118e+03,2.304e+04
102.9,9.137e+03,1.615e+04,2.238e+03,2.753e+04
104.4,1.479e+04,2.052e+04,1.606e+03,3.692e+04
106.0,1.978e+04,2.593e+04,1.589e+03,4.730e+04
107.5,2.174e+04,3.186e+04,2.002e+03,5.560e+04
109.1,2.016e+04,3.822e+04,2.648e+03,6.102e+04
110.7,1.871e+04,4.663e+04,3.254e+03,6.860e+04
112.2,1.911e+04,5.637e+04,3.929e+03,7.940e+04
113.8,1.835e+04,6.533e+04,4.541e+03,8.822e+04
115.3,1.879e+04,7.854e+04,5.588e+03,1.029e+05
116.9,2.177e+04,9.218e+04,6.823e+03,1.208e+05
118.5,2.480e+04,1.058e+05,7.704e+03,1.383e+05
120.0,2.797e+04,1.267e+05,8.971e+03,1.636e+05
121.6,3.138e+04,1.500e+05,1.057e+04,1.919e+05
123.1,3.407e+04,1.691e+05,1.232e+04,2.155e+05
124.7,3.686e+04,1.882e+05,1.405e+04,2.391e+05
126.3,3.992e+04,2.054e+05,1.541e+04,2.607e+05
127.8,4.294e+04,2.209e+05,1.701e+04,2.808e+05
129.4,4.524e+04,2.451e+05,1.972e+04,3.101e+05
130.9,4.339e+04,2.785e+05,2.307e+04,3.449e+05
132.5,3.296e+04,2.468e+05,2.127e+04,3.010e+05
134.0,1.266e+04,6.870e+04,6.166e+03,8.753e+04
135.6,6.209e+03,1.696e+04,1.795e+03,2.496e+04
137.2,4.840e+03,1.707e+04,1.997e+03,2.391e+04
138.7,3.682e+03,1.805e+04,2.196e+03,2.393e+04
140.3,2.717e+03,1.942e+04,2.362e+03,2.450e+04
141.8,1.852e+03,1.938e+04,2.366e+03,2.359e+04
143.4,1.292e+03,1.802e+04,2.109e+03,2.142e+04
145.0,9.027e+02,1.692e+04,1.924e+03,1.975e+04
146.5,6.505e+02,1.635e+04,1.707e+03,1.870e+04
148.1,5.085e+02,1.635e+04,1.461e+03,1.832e+04
149.6,5.466e+02,1.987e+04,1.860e+03,2.228e+04
151.2,8.130e+02,2.483e+04,2.798e+03,2.844e+04
152.8,1.092e+03,2.488e+04,3.384e+03,2.936e+04
154.3,1.335e+03,2.296e+04,3.538e+03,2.784e+04
155.9,1.650e+03,2.145e+04,3.480e+03,2.658e+04
157.4,2.099e+03,2.023e+04,3.227e+03,2.556e+04
159.0,2.584e+03,1.783e+04,2.763e+03,2.317e+04
160.5,3.161e+03,1.550e+04,2.363e+03,2.102e+04
162.1,3.663e+03,1.436e+04,2.201e+03,2.023e+04
163.7,4.252e+03,1.458e+04,2.163e+03,2.100e+04
165.2,4.601e+03,1.644e+04,2.456e+03,2.349e+04
166.8,4.624e+03,1.939e+04,3.488e+03,2.750e+04
168.3,4.690e+03,2.272e+04,4.776e+03,3.219e+04
169.9,4.700e+03,2.729e+04,6.335e+03,3.832e+04
171.5,4.959e+03,3.138e+04,7.756e+03,4.409e+04
173.0,6.030e+03,3.793e+04,9.467e+03,5.343e+04
174.6,7.513e+03,4.564e+04,1.124e+04,6.440e+04
176.1,8.862e+03,4.879e+04,1.247e+04,7.012e+04
177.7,9.712e+03,5.270e+04,1.357e+04,7.598e+04
179.2,1.147e+04,7.034e+04,1.881e+04,1.006e+05
180.8,1.530e+04,7.636e+04,1.904e+04,1.107e+05
182.4,1.912e+04,7.641e+04,1.623e+04,1.118e+05
183.9,2.172e+04,9.251e+04,2.542e+04,1.397e+05
185.5,2.247e+04,1.026e+05,3.422e+04,1.593e+05
187.0,2.155e+04,1.071e+05,3.778e+04,1.664e+05
188.6,2.051e+04,1.043e+05,3.973e+04,1.645e+05
190.2,2.087e+04,1.026e+05,4.845e+04,1.719e+05
191.7,2.387e+04,1.087e+05,6.344e+04,1.960e+05
193.3,2.625e+04,1.038e+05,6.344e+04,1.935e+05
194.8,2.394e+04,7.707e+04,4.617e+04,1.472e+05
196.4,1.940e+04,5.671e+04,3.470e+04,1.108e+05
198.0,1.855e+04,4.915e+04,3.464e+04,1.023e+05
199.5,1.907e+04,4.816e+04,4.201e+04,1.092e+05
