freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.725e+03,3.072e+04,2.286e+03,3.573e+04
1.5,1.430e+04,4.911e+04,8.658e+03,7.206e+04
3.1,1.978e+04,4.402e+04,9.679e+03,7.348e+04
4.6,2.375e+04,6.502e+04,1.046e+04,9.924e+04
6.1,2.782e+04,1.249e+05,1.135e+04,1.641e+05
7.6,2.981e+04,1.923e+05,1.408e+04,2.361e+05
9.2,2.822e+04,2.684e+05,1.618e+04,3.128e+05
10.7,2.816e+04,2.847e+05,1.534e+04,3.282e+05
12.2,2.389e+04,3.506e+05,1.519e+04,3.897e+05
13.8,1.963e+04,4.684e+05,1.567e+04,5.037e+05
15.3,1.756e+04,6.025e+05,1.650e+04,6.366e+05
16.8,1.973e+04,7.436e+05,1.737e+04,7.807e+05
18.3,3.288e+04,9.472e+05,2.066e+04,1.001e+06
19.9,5.494e+04,1.243e+06,2.699e+04,1.325e+06
21.4,7.154e+04,1.583e+06,3.095e+04,1.685e+06
22.9,5.762e+04,1.954e+06,3.150e+04,2.043e+06
24.4,3.967e+04,2.471e+06,3.987e+04,2.550e+06
26.0,4.681e+04,3.213e+06,4.870e+04,3.308e+06
27.5,1.686e+05,4.206e+06,7.134e+04,4.446e+06
29.0,4.199e+05,5.643e+06,1.023e+05,6.165e+06
30.6,5.676e+05,7.610e+06,1.397e+05,8.318e+06
32.1,3.152e+05,1.026e+07,1.843e+05,1.076e+07
33.6,8.093e+04,1.501e+07,2.632e+05,1.536e+07
35.1,3.920e+04,2.581e+07,3.790e+05,2.622e+07
36.7,8.412e+04,5.581e+07,6.950e+05,5.659e+07
38.2,3.156e+05,9.394e+07,1.031e+06,9.528e+07
39.7,4.045e+05,8.845e+07,9.306e+05,8.979e+07
41.3,3.514e+05,6.323e+07,7.146e+05,6.429e+07
42.8,3.227e+05,4.316e+07,5.210e+05,4.401e+07
44.3,2.707e+05,2.909e+07,3.852e+05,2.975e+07
45.8,2.334e+05,2.031e+07,3.117e+05,2.086e+07
