freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.694e+04,8.336e+03,5.584e+03,8.086e+04
1.5,1.806e+05,4.404e+04,2.191e+04,2.466e+05
3.1,2.394e+05,5.504e+04,2.506e+04,3.195e+05
4.6,3.033e+05,5.112e+04,2.327e+04,3.777e+05
6.1,3.888e+05,4.854e+04,2.225e+04,4.596e+05
7.6,4.482e+05,5.217e+04,2.155e+04,5.219e+05
9.2,5.709e+05,5.246e+04,2.258e+04,6.460e+05
10.7,6.856e+05,4.863e+04,1.652e+04,7.507e+05
12.2,7.069e+05,4.166e+04,1.525e+04,7.638e+05
13.8,7.003e+05,4.048e+04,2.122e+04,7.621e+05
15.3,8.689e+05,3.096e+04,1.666e+04,9.165e+05
16.8,9.811e+05,2.271e+04,1.726e+04,1.021e+06
18.3,1.023e+06,2.068e+04,1.723e+04,1.061e+06
19.9,1.065e+06,2.002e+04,1.790e+04,1.103e+06
21.4,1.153e+06,2.088e+04,1.320e+04,1.187e+06
22.9,1.323e+06,2.378e+04,1.578e+04,1.363e+06
24.4,1.483e+06,2.502e+04,1.583e+04,1.524e+06
26.0,1.683e+06,2.218e+04,1.523e+04,1.720e+06
27.5,1.873e+06,2.434e+04,1.394e+04,1.911e+06
29.0,2.146e+06,2.154e+04,1.566e+04,2.183e+06
30.6,2.450e+06,2.176e+04,1.504e+04,2.487e+06
32.1,2.716e+06,2.209e+04,1.386e+04,2.752e+06
33.6,3.085e+06,2.632e+04,1.149e+04,3.123e+06
35.1,3.541e+06,2.825e+04,1.311e+04,3.583e+06
36.7,4.017e+06,3.059e+04,1.561e+04,4.063e+06
38.2,4.676e+06,2.843e+04,1.768e+04,4.722e+06
39.7,5.247e+06,3.386e+04,1.784e+04,5.299e+06
41.3,6.034e+06,3.688e+04,2.026e+04,6.091e+06
42.8,7.095e+06,4.021e+04,2.507e+04,7.160e+06
44.3,8.377e+06,3.931e+04,2.318e+04,8.440e+06
45.8,1.007e+07,3.554e+04,2.405e+04,1.013e+07
47.4,1.221e+07,3.811e+04,2.493e+04,1.228e+07
48.9,1.473e+07,3.326e+04,2.888e+04,1.479e+07
50.4,1.753e+07,2.821e+04,3.200e+04,1.759e+07
52.0,2.224e+07,2.657e+04,3.765e+04,2.230e+07
53.5,2.993e+07,2.768e+04,4.084e+04,3.000e+07
55.0,4.235e+07,3.254e+04,4.134e+04,4.242e+07
56.5,6.201e+07,4.712e+04,4.609e+04,6.210e+07
58.1,9.279e+07,9.720e+04,6.285e+04,9.295e+07
59.6,1.518e+08,2.868e+05,6.782e+04,1.521e+08
61.1,2.048e+08,8.807e+05,1.228e+05,2.058e+08
62.6,2.075e+08,1.705e+06,2.270e+05,2.095e+08
64.2,1.673e+08,1.987e+06,3.000e+05,1.696e+08
65.7,1.155e+08,1.824e+06,3.305e+05,1.176e+08
67.2,7.692e+07,1.318e+06,3.009e+05,7.854e+07
68.8,4.842e+07,8.061e+05,2.333e+05,4.946e+07
70.3,3.035e+07,4.840e+05,1.527e+05,3.098e+07
71.8,1.908e+07,3.022e+05,9.330e+04,1.947e+07
73.3,1.271e+07,2.485e+05,6.277e+04,1.302e+07
74.9,9.129e+06,2.247e+05,5.370e+04,9.407e+06
76.4,6.365e+06,2.058e+05,6.622e+04,6.637e+06
77.9,4.713e+06,2.060e+05,8.778e+04,5.007e+06
79.5,3.717e+06,2.213e+05,1.107e+05,4.049e+06
81.0,2.896e+06,2.302e+05,1.499e+05,3.276e+06
82.5,2.420e+06,2.350e+05,1.935e+05,2.849e+06
84.0,2.377e+06,2.529e+05,2.583e+05,2.888e+06
85.6,2.438e+06,2.567e+05,3.370e+05,3.032e+06
87.1,2.361e+06,2.412e+05,4.671e+05,3.070e+06
88.6,2.360e+06,2.063e+05,5.566e+05,3.123e+06
90.2,2.266e+06,1.624e+05,6.044e+05,3.033e+06
91.7,2.218e+06,1.184e+05,5.854e+05,2.922e+06
93.2,2.279e+06,1.003e+05,5.307e+05,2.910e+06
94.7,2.272e+06,1.516e+05,4.619e+05,2.886e+06
96.3,2.080e+06,2.746e+05,3.932e+05,2.747e+06
97.8,2.001e+06,4.556e+05,3.564e+05,2.813e+06
99.3,2.143e+06,4.839e+05,2.553e+05,2.882e+06
100.8,1.930e+06,4.203e+05,2.169e+05,2.567e+06
102.4,1.761e+06,4.309e+05,2.309e+05,2.423e+06
103.9,1.464e+06,3.959e+05,2.445e+05,2.105e+06
105.4,1.116e+06,3.338e+05,2.756e+05,1.726e+06
107.0,1.065e+06,3.763e+05,2.980e+05,1.740e+06
108.5,1.042e+06,4.483e+05,2.529e+05,1.743e+06
110.0,1.069e+06,4.407e+05,1.978e+05,1.707e+06
111.5,1.066e+06,4.190e+05,1.721e+05,1.657e+06
113.1,1.076e+06,4.537e+05,1.910e+05,1.720e+06
114.6,1.078e+06,4.911e+05,2.066e+05,1.776e+06
116.1,9.963e+05,5.179e+05,1.893e+05,1.703e+06
117.7,1.027e+06,5.700e+05,2.133e+05,1.811e+06
119.2,9.371e+05,5.750e+05,2.207e+05,1.733e+06
120.7,1.047e+06,5.625e+05,2.392e+05,1.848e+06
122.2,1.262e+06,5.896e+05,2.729e+05,2.125e+06
123.8,1.521e+06,5.564e+05,3.031e+05,2.381e+06
125.3,1.911e+06,4.808e+05,2.800e+05,2.671e+06
126.8,2.296e+06,4.194e+05,2.268e+05,2.942e+06
128.4,2.592e+06,3.343e+05,1.666e+05,3.093e+06
129.9,2.953e+06,3.556e+05,1.239e+05,3.433e+06
131.4,3.719e+06,3.877e+05,1.281e+05,4.234e+06
132.9,3.465e+06,4.007e+05,1.339e+05,4.000e+06
