freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.805e+03,1.266e+04,2.013e+03,1.748e+04
1.5,1.097e+04,2.981e+04,7.769e+03,4.855e+04
3.1,1.372e+04,3.066e+04,9.214e+03,5.360e+04
4.6,1.547e+04,4.829e+04,1.047e+04,7.423e+04
6.1,1.609e+04,1.070e+05,1.144e+04,1.346e+05
7.6,1.400e+04,1.651e+05,1.072e+04,1.898e+05
9.2,1.445e+04,2.199e+05,1.054e+04,2.449e+05
10.7,1.606e+04,2.249e+05,1.029e+04,2.512e+05
12.2,1.687e+04,2.753e+05,1.043e+04,3.025e+05
13.8,1.678e+04,3.864e+05,1.186e+04,4.150e+05
15.3,1.924e+04,5.362e+05,1.425e+04,5.697e+05
16.8,1.907e+04,6.576e+05,1.558e+04,6.923e+05
18.3,1.841e+04,7.694e+05,1.702e+04,8.049e+05
19.9,1.798e+04,9.511e+05,1.898e+04,9.881e+05
21.4,1.841e+04,1.193e+06,2.107e+04,1.232e+06
22.9,2.199e+04,1.482e+06,2.344e+04,1.528e+06
24.4,2.513e+04,1.791e+06,2.689e+04,1.843e+06
26.0,2.574e+04,2.086e+06,3.334e+04,2.145e+06
27.5,2.935e+04,2.266e+06,3.883e+04,2.334e+06
29.0,3.570e+04,2.644e+06,4.781e+04,2.727e+06
30.6,3.798e+04,3.096e+06,5.480e+04,3.188e+06
32.1,4.145e+04,3.223e+06,6.489e+04,3.329e+06
33.6,4.529e+04,3.112e+06,7.005e+04,3.227e+06
35.1,4.503e+04,3.027e+06,5.556e+04,3.128e+06
36.7,4.765e+04,3.131e+06,4.590e+04,3.225e+06
38.2,4.476e+04,3.508e+06,4.649e+04,3.600e+06
39.7,4.313e+04,2.466e+06,3.942e+04,2.548e+06
41.3,5.436e+04,2.188e+06,4.199e+04,2.285e+06
42.8,5.093e+04,2.663e+06,5.534e+04,2.769e+06
44.3,5.548e+04,3.004e+06,7.043e+04,3.130e+06
45.8,8.789e+04,3.168e+06,8.810e+04,3.344e+06
47.4,1.202e+05,3.194e+06,1.031e+05,3.417e+06
48.9,1.078e+05,2.232e+06,8.962e+04,2.430e+06
50.4,8.689e+04,1.119e+06,6.463e+04,1.270e+06
52.0,1.003e+05,7.529e+05,6.743e+04,9.206e+05
53.5,1.322e+05,5.407e+05,8.421e+04,7.572e+05
55.0,1.618e+05,4.519e+05,1.332e+05,7.470e+05
56.5,1.710e+05,3.422e+05,1.978e+05,7.111e+05
58.1,2.021e+05,2.270e+05,2.145e+05,6.436e+05
59.6,2.776e+05,2.070e+05,2.902e+05,7.748e+05
61.1,4.156e+05,2.372e+05,4.423e+05,1.095e+06
62.7,5.460e+05,3.750e+05,5.219e+05,1.443e+06
64.2,4.770e+05,6.770e+05,5.059e+05,1.660e+06
65.7,3.483e+05,1.334e+06,5.052e+05,2.187e+06
67.2,3.640e+05,2.296e+06,5.399e+05,3.200e+06
68.8,4.198e+05,3.209e+06,5.828e+05,4.211e+06
70.3,3.779e+05,3.984e+06,6.173e+05,4.979e+06
71.8,3.274e+05,4.854e+06,5.854e+05,5.767e+06
73.3,2.493e+05,5.924e+06,5.289e+05,6.702e+06
74.9,1.963e+05,7.470e+06,5.554e+05,8.222e+06
76.4,1.580e+05,9.022e+06,5.512e+05,9.731e+06
77.9,1.248e+05,9.990e+06,5.194e+05,1.063e+07
79.5,1.482e+05,9.598e+06,5.070e+05,1.025e+07
81.0,1.634e+05,8.169e+06,4.817e+05,8.814e+06
82.5,1.598e+05,6.507e+06,4.593e+05,7.126e+06
84.0,1.372e+05,4.996e+06,4.360e+05,5.569e+06
85.6,1.265e+05,3.723e+06,4.098e+05,4.259e+06
87.1,1.273e+05,2.817e+06,3.744e+05,3.319e+06
88.6,1.650e+05,2.382e+06,3.287e+05,2.876e+06
90.2,2.031e+05,2.462e+06,3.067e+05,2.972e+06
91.7,2.089e+05,2.761e+06,2.859e+05,3.256e+06
93.2,2.262e+05,3.419e+06,2.285e+05,3.874e+06
94.7,2.557e+05,4.121e+06,1.547e+05,4.532e+06
96.3,3.049e+05,4.382e+06,9.369e+04,4.780e+06
97.8,3.250e+05,4.185e+06,5.906e+04,4.569e+06
99.3,2.804e+05,3.795e+06,6.013e+04,4.135e+06
100.9,2.981e+05,3.543e+06,8.662e+04,3.928e+06
102.4,2.855e+05,3.195e+06,1.594e+05,3.640e+06
103.9,2.877e+05,2.748e+06,2.616e+05,3.297e+06
105.4,3.232e+05,2.152e+06,4.339e+05,2.909e+06
107.0,3.138e+05,1.758e+06,7.134e+05,2.785e+06
108.5,3.072e+05,1.755e+06,9.550e+05,3.018e+06
110.0,3.104e+05,1.856e+06,9.407e+05,3.107e+06
111.6,3.153e+05,1.812e+06,8.613e+05,2.989e+06
113.1,3.305e+05,1.934e+06,9.385e+05,3.203e+06
114.6,3.343e+05,2.108e+06,1.040e+06,3.482e+06
116.1,3.963e+05,2.553e+06,1.058e+06,4.007e+06
117.7,5.155e+05,2.840e+06,9.163e+05,4.272e+06
119.2,6.280e+05,2.820e+06,8.125e+05,4.260e+06
120.7,6.881e+05,2.780e+06,8.105e+05,4.279e+06
122.2,7.338e+05,2.795e+06,8.442e+05,4.373e+06
123.8,8.016e+05,2.866e+06,8.329e+05,4.500e+06
125.3,9.426e+05,2.948e+06,7.713e+05,4.662e+06
126.8,1.177e+06,2.982e+06,6.760e+05,4.835e+06
128.4,1.426e+06,3.002e+06,5.636e+05,4.992e+06
129.9,1.565e+06,3.075e+06,4.662e+05,5.106e+06
131.4,1.744e+06,3.016e+06,4.057e+05,5.165e+06
132.9,1.177e+06,1.810e+06,2.389e+05,3.225e+06
134.5,4.122e+05,4.282e+05,6.705e+04,9.074e+05
136.0,3.492e+05,2.864e+05,4.688e+04,6.825e+05
137.5,3.332e+05,2.615e+05,4.802e+04,6.427e+05
139.1,3.092e+05,2.592e+05,4.895e+04,6.174e+05
140.6,2.771e+05,2.815e+05,4.975e+04,6.084e+05
