freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.855e+01,5.554e+00,1.781e+02,2.022e+02
1.6,2.025e+01,1.519e+01,1.196e+02,1.550e+02
3.1,1.150e+01,1.582e+01,3.201e+01,5.933e+01
4.7,1.289e+01,1.669e+01,3.646e+02,3.942e+02
6.2,1.403e+01,1.771e+01,1.298e+03,1.329e+03
7.8,1.361e+01,1.796e+01,2.301e+03,2.333e+03
9.3,1.411e+01,3.531e+01,3.302e+03,3.352e+03
10.9,1.348e+01,4.590e+01,3.152e+03,3.212e+03
12.5,1.464e+01,2.760e+01,3.689e+03,3.731e+03
14.0,1.463e+01,2.277e+01,5.395e+03,5.432e+03
15.6,1.452e+01,2.563e+01,7.526e+03,7.566e+03
17.1,1.527e+01,3.093e+01,9.544e+03,9.590e+03
18.7,1.833e+01,3.769e+01,1.172e+04,1.177e+04
20.3,1.970e+01,3.644e+01,1.429e+04,1.434e+04
21.8,2.603e+01,3.283e+01,1.752e+04,1.758e+04
23.4,3.898e+01,3.499e+01,2.139e+04,2.147e+04
24.9,4.289e+01,4.005e+01,2.573e+04,2.581e+04
26.5,3.258e+01,4.230e+01,3.080e+04,3.088e+04
28.0,2.214e+01,5.467e+01,3.640e+04,3.648e+04
29.6,4.445e+01,6.255e+01,4.228e+04,4.239e+04
31.2,9.267e+01,6.584e+01,4.931e+04,4.947e+04
32.7,1.397e+02,6.300e+01,5.985e+04,6.005e+04
34.3,1.909e+02,7.670e+01,7.374e+04,7.401e+04
35.8,2.296e+02,9.056e+01,9.277e+04,9.309e+04
37.4,3.779e+02,1.166e+02,1.196e+05,1.201e+05
39.0,5.258e+02,1.152e+02,1.226e+05,1.232e+05
40.5,4.293e+02,7.247e+01,7.446e+04,7.496e+04
42.1,4.586e+02,1.305e+02,6.267e+04,6.325e+04
43.6,5.497e+02,1.368e+02,7.025e+04,7.094e+04
45.2,7.101e+02,1.556e+02,8.694e+04,8.780e+04
46.7,1.075e+03,3.892e+02,1.134e+05,1.148e+05
48.3,1.496e+03,5.767e+02,1.307e+05,1.328e+05
49.9,1.784e+03,4.873e+02,1.309e+05,1.332e+05
51.4,2.367e+03,5.792e+02,1.576e+05,1.606e+05
53.0,3.541e+03,1.196e+03,2.001e+05,2.048e+05
54.5,5.092e+03,2.510e+03,2.126e+05,2.202e+05
56.1,5.609e+03,3.753e+03,1.787e+05,1.881e+05
57.7,4.778e+03,3.612e+03,1.379e+05,1.463e+05
59.2,4.721e+03,2.763e+03,1.221e+05,1.296e+05
60.8,6.054e+03,2.512e+03,1.086e+05,1.172e+05
62.3,7.039e+03,2.279e+03,9.295e+04,1.023e+05
63.9,9.083e+03,2.711e+03,8.802e+04,9.981e+04
65.4,1.094e+04,4.142e+03,8.289e+04,9.797e+04
67.0,1.016e+04,5.062e+03,6.907e+04,8.428e+04
68.6,6.741e+03,6.300e+03,5.077e+04,6.381e+04
70.1,3.821e+03,5.708e+03,4.084e+04,5.037e+04
71.7,2.879e+03,4.266e+03,4.109e+04,4.824e+04
73.2,3.593e+03,2.738e+03,4.078e+04,4.711e+04
74.8,3.913e+03,1.934e+03,3.993e+04,4.578e+04
76.3,4.274e+03,1.494e+03,4.011e+04,4.588e+04
77.9,5.395e+03,1.014e+03,4.099e+04,4.740e+04
79.5,7.231e+03,7.234e+02,4.159e+04,4.954e+04
81.0,9.208e+03,6.149e+02,4.124e+04,5.106e+04
82.6,1.152e+04,4.136e+02,3.977e+04,5.171e+04
84.1,1.448e+04,2.990e+02,3.834e+04,5.312e+04
85.7,1.744e+04,3.348e+02,3.613e+04,5.391e+04
87.3,1.976e+04,5.460e+02,3.281e+04,5.311e+04
