freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.865e+03,1.447e+04,2.042e+03,1.838e+04
1.5,9.011e+03,3.697e+04,9.135e+03,5.511e+04
3.1,1.067e+04,4.008e+04,1.089e+04,6.163e+04
4.6,1.083e+04,6.286e+04,1.218e+04,8.587e+04
6.1,1.234e+04,1.215e+05,1.332e+04,1.472e+05
7.6,1.314e+04,1.756e+05,1.467e+04,2.034e+05
9.2,1.223e+04,2.335e+05,1.750e+04,2.633e+05
10.7,1.417e+04,2.364e+05,1.719e+04,2.677e+05
12.2,1.388e+04,2.807e+05,1.603e+04,3.106e+05
13.7,1.330e+04,3.948e+05,1.656e+04,4.246e+05
15.3,1.496e+04,5.344e+05,1.812e+04,5.675e+05
16.8,1.603e+04,6.692e+05,2.022e+04,7.054e+05
18.3,1.456e+04,7.844e+05,2.036e+04,8.193e+05
19.9,1.531e+04,9.335e+05,2.290e+04,9.717e+05
21.4,1.616e+04,1.162e+06,2.506e+04,1.203e+06
22.9,1.967e+04,1.408e+06,2.678e+04,1.455e+06
24.4,1.750e+04,1.798e+06,3.084e+04,1.846e+06
26.0,1.706e+04,2.158e+06,3.756e+04,2.212e+06
27.5,1.890e+04,2.643e+06,4.670e+04,2.709e+06
29.0,2.191e+04,3.128e+06,5.635e+04,3.206e+06
30.6,2.401e+04,3.701e+06,6.513e+04,3.790e+06
32.1,2.496e+04,4.420e+06,8.979e+04,4.535e+06
33.6,2.413e+04,5.515e+06,1.190e+05,5.658e+06
35.1,2.352e+04,7.208e+06,1.240e+05,7.355e+06
36.7,2.466e+04,9.457e+06,1.348e+05,9.616e+06
38.2,2.676e+04,1.358e+07,1.644e+05,1.377e+07
39.7,3.955e+04,1.610e+07,1.823e+05,1.632e+07
41.2,6.712e+04,1.156e+07,1.471e+05,1.178e+07
42.8,6.826e+04,7.689e+06,1.183e+05,7.876e+06
44.3,5.088e+04,3.362e+06,7.390e+04,3.486e+06
45.8,5.100e+04,2.681e+06,7.224e+04,2.804e+06
47.4,6.412e+04,3.211e+06,9.993e+04,3.375e+06
48.9,7.290e+04,3.522e+06,1.310e+05,3.726e+06
50.4,7.223e+04,3.500e+06,1.626e+05,3.735e+06
51.9,8.828e+04,3.686e+06,2.205e+05,3.994e+06
53.5,9.523e+04,3.581e+06,2.840e+05,3.960e+06
55.0,7.340e+04,3.018e+06,3.598e+05,3.451e+06
56.5,3.693e+04,2.137e+06,4.214e+05,2.595e+06
58.1,3.213e+04,1.068e+06,3.933e+05,1.494e+06
59.6,4.205e+04,5.012e+05,5.185e+05,1.062e+06
61.1,4.296e+04,3.518e+05,6.739e+05,1.069e+06
62.6,4.097e+04,4.377e+05,6.531e+05,1.132e+06
64.2,4.127e+04,6.615e+05,5.953e+05,1.298e+06
65.7,4.553e+04,1.263e+06,5.810e+05,1.889e+06
67.2,6.391e+04,2.196e+06,6.056e+05,2.865e+06
68.7,1.110e+05,3.465e+06,6.655e+05,4.242e+06
70.3,1.670e+05,4.831e+06,7.316e+05,5.730e+06
71.8,1.631e+05,6.483e+06,7.282e+05,7.374e+06
73.3,1.104e+05,8.261e+06,6.703e+05,9.042e+06
74.9,7.563e+04,1.016e+07,6.531e+05,1.089e+07
76.4,7.881e+04,1.252e+07,7.020e+05,1.330e+07
77.9,8.181e+04,1.331e+07,7.093e+05,1.410e+07
79.4,8.286e+04,1.188e+07,6.346e+05,1.260e+07
81.0,7.487e+04,1.006e+07,5.623e+05,1.069e+07
82.5,7.164e+04,8.331e+06,5.105e+05,8.914e+06
84.0,7.541e+04,6.503e+06,4.948e+05,7.073e+06
85.6,6.985e+04,4.930e+06,4.808e+05,5.480e+06
87.1,6.572e+04,3.795e+06,4.382e+05,4.299e+06
88.6,7.930e+04,3.030e+06,4.101e+05,3.519e+06
90.1,1.124e+05,2.733e+06,3.858e+05,3.232e+06
91.7,1.371e+05,2.973e+06,3.388e+05,3.449e+06
93.2,1.589e+05,3.547e+06,2.633e+05,3.969e+06
94.7,1.743e+05,4.171e+06,1.736e+05,4.519e+06
96.2,1.768e+05,4.421e+06,9.928e+04,4.697e+06
97.8,1.825e+05,4.380e+06,6.239e+04,4.625e+06
99.3,1.943e+05,4.069e+06,8.327e+04,4.347e+06
100.8,2.051e+05,3.791e+06,1.288e+05,4.125e+06
102.4,2.097e+05,3.552e+06,2.194e+05,3.981e+06
103.9,2.179e+05,3.089e+06,3.628e+05,3.670e+06
105.4,2.253e+05,2.431e+06,6.318e+05,3.288e+06
106.9,2.316e+05,1.883e+06,1.179e+06,3.294e+06
108.5,2.318e+05,1.746e+06,1.743e+06,3.721e+06
110.0,2.284e+05,2.046e+06,1.877e+06,4.151e+06
111.5,2.238e+05,2.312e+06,1.707e+06,4.243e+06
113.1,2.071e+05,2.404e+06,1.567e+06,4.178e+06
114.6,2.106e+05,2.537e+06,1.519e+06,4.266e+06
116.1,2.336e+05,2.854e+06,1.409e+06,4.497e+06
117.6,2.734e+05,3.237e+06,1.244e+06,4.755e+06
119.2,3.362e+05,3.335e+06,1.114e+06,4.785e+06
120.7,3.933e+05,3.230e+06,1.080e+06,4.703e+06
122.2,4.458e+05,3.156e+06,1.144e+06,4.745e+06
123.7,4.990e+05,3.147e+06,1.152e+06,4.798e+06
125.3,5.450e+05,3.123e+06,1.088e+06,4.755e+06
126.8,6.061e+05,3.084e+06,1.016e+06,4.705e+06
128.3,6.568e+05,3.353e+06,9.525e+05,4.962e+06
129.9,9.338e+05,3.265e+06,8.399e+05,5.039e+06
131.4,1.027e+06,2.714e+06,6.778e+05,4.419e+06
132.9,6.638e+05,1.697e+06,4.252e+05,2.786e+06
134.4,2.254e+05,4.589e+05,1.078e+05,7.921e+05
136.0,1.754e+05,3.205e+05,7.722e+04,5.731e+05
137.5,1.860e+05,3.292e+05,7.540e+04,5.906e+05
139.0,1.973e+05,3.388e+05,7.226e+04,6.084e+05
140.6,1.861e+05,3.348e+05,7.071e+04,5.916e+05
142.1,1.843e+05,3.168e+05,6.280e+04,5.640e+05
143.6,1.877e+05,2.854e+05,5.028e+04,5.234e+05
145.1,1.899e+05,2.478e+05,4.080e+04,4.784e+05
146.7,1.835e+05,1.747e+05,3.289e+04,3.911e+05
148.2,1.537e+05,1.495e+05,2.841e+04,3.316e+05
149.7,1.284e+05,1.283e+05,2.399e+04,2.806e+05
151.2,1.288e+05,1.279e+05,2.318e+04,2.799e+05
152.8,1.223e+05,1.299e+05,2.446e+04,2.767e+05
154.3,1.152e+05,1.341e+05,2.627e+04,2.755e+05
155.8,1.226e+05,1.371e+05,2.707e+04,2.868e+05
157.4,1.321e+05,1.472e+05,2.948e+04,3.088e+05
158.9,1.574e+05,1.628e+05,3.134e+04,3.516e+05
160.4,1.852e+05,1.749e+05,3.277e+04,3.929e+05
161.9,2.256e+05,1.713e+05,3.023e+04,4.271e+05
163.5,2.459e+05,1.653e+05,2.899e+04,4.402e+05
165.0,2.770e+05,1.677e+05,2.697e+04,4.717e+05
166.5,3.279e+05,1.651e+05,2.675e+04,5.198e+05
168.1,3.713e+05,1.775e+05,2.829e+04,5.771e+05
169.6,4.920e+05,1.626e+05,2.740e+04,6.820e+05
171.1,7.330e+05,1.757e+05,2.707e+04,9.357e+05
172.6,9.561e+05,1.748e+05,2.719e+04,1.158e+06
174.2,1.164e+06,1.490e+05,2.577e+04,1.339e+06
175.7,1.387e+06,1.730e+05,2.965e+04,1.589e+06
177.2,1.562e+06,1.769e+05,3.035e+04,1.769e+06
178.7,1.633e+06,1.800e+05,3.036e+04,1.843e+06
180.3,1.805e+06,1.743e+05,3.384e+04,2.013e+06
181.8,1.876e+06,1.656e+05,3.811e+04,2.080e+06
183.3,1.733e+06,1.630e+05,3.817e+04,1.934e+06
184.9,1.625e+06,1.510e+05,3.391e+04,1.810e+06
186.4,1.495e+06,1.561e+05,3.099e+04,1.683e+06
187.9,1.305e+06,1.420e+05,2.492e+04,1.471e+06
189.4,8.557e+05,1.231e+05,2.075e+04,9.996e+05
191.0,6.627e+05,1.167e+05,2.252e+04,8.019e+05
192.5,5.858e+05,1.239e+05,2.269e+04,7.323e+05
194.0,5.773e+05,1.300e+05,1.907e+04,7.264e+05
195.6,2.468e+05,7.726e+04,8.848e+03,3.329e+05
