freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.041e+05,1.487e+04,3.213e+03,1.222e+05
1.5,2.545e+05,5.447e+04,1.631e+04,3.253e+05
3.1,2.238e+05,5.858e+04,1.850e+04,3.009e+05
4.6,2.364e+05,5.289e+04,2.255e+04,3.118e+05
6.1,3.159e+05,5.149e+04,2.458e+04,3.920e+05
7.6,3.979e+05,4.375e+04,2.009e+04,4.617e+05
9.2,4.795e+05,3.345e+04,1.695e+04,5.299e+05
10.7,6.930e+05,3.525e+04,1.749e+04,7.457e+05
12.2,6.731e+05,3.699e+04,1.555e+04,7.257e+05
13.7,7.110e+05,4.315e+04,1.339e+04,7.676e+05
15.3,7.512e+05,3.774e+04,1.398e+04,8.029e+05
16.8,7.864e+05,3.042e+04,1.505e+04,8.319e+05
18.3,8.384e+05,2.362e+04,1.478e+04,8.768e+05
19.9,9.835e+05,2.020e+04,1.362e+04,1.017e+06
21.4,1.164e+06,2.256e+04,1.447e+04,1.201e+06
22.9,1.298e+06,2.022e+04,1.471e+04,1.333e+06
24.4,1.454e+06,1.852e+04,1.635e+04,1.489e+06
26.0,1.698e+06,1.981e+04,1.379e+04,1.732e+06
27.5,1.943e+06,2.318e+04,1.353e+04,1.980e+06
29.0,2.242e+06,1.788e+04,1.204e+04,2.272e+06
30.6,2.541e+06,1.507e+04,1.026e+04,2.566e+06
32.1,2.751e+06,1.660e+04,1.074e+04,2.779e+06
33.6,3.107e+06,1.834e+04,1.093e+04,3.136e+06
35.1,3.597e+06,2.146e+04,1.248e+04,3.631e+06
36.7,4.156e+06,2.308e+04,1.447e+04,4.193e+06
38.2,4.883e+06,2.170e+04,1.532e+04,4.920e+06
39.7,5.557e+06,2.285e+04,1.624e+04,5.596e+06
41.2,6.587e+06,2.580e+04,1.808e+04,6.630e+06
42.8,7.880e+06,2.464e+04,1.670e+04,7.921e+06
44.3,9.272e+06,2.645e+04,1.823e+04,9.317e+06
45.8,1.127e+07,2.409e+04,2.102e+04,1.131e+07
47.4,1.411e+07,2.578e+04,2.219e+04,1.416e+07
48.9,1.738e+07,3.079e+04,2.472e+04,1.743e+07
50.4,2.003e+07,3.324e+04,2.523e+04,2.009e+07
51.9,2.495e+07,2.978e+04,2.773e+04,2.501e+07
53.5,3.518e+07,3.716e+04,2.732e+04,3.525e+07
55.0,5.200e+07,6.930e+04,2.608e+04,5.210e+07
56.5,7.469e+07,1.084e+05,4.368e+04,7.485e+07
58.1,1.181e+08,1.533e+05,8.431e+04,1.184e+08
59.6,1.884e+08,3.316e+05,1.507e+05,1.889e+08
61.1,2.100e+08,7.481e+05,2.177e+05,2.109e+08
62.6,1.727e+08,1.599e+06,3.012e+05,1.746e+08
64.2,1.214e+08,2.388e+06,4.222e+05,1.242e+08
65.7,8.292e+07,2.558e+06,4.233e+05,8.590e+07
67.2,5.637e+07,1.904e+06,3.714e+05,5.864e+07
68.7,3.613e+07,1.018e+06,2.428e+05,3.739e+07
70.3,2.429e+07,5.265e+05,1.581e+05,2.497e+07
71.8,1.667e+07,2.817e+05,1.119e+05,1.707e+07
73.3,1.146e+07,1.670e+05,1.003e+05,1.173e+07
74.9,8.164e+06,1.364e+05,9.659e+04,8.397e+06
76.4,5.723e+06,1.514e+05,9.038e+04,5.964e+06
77.9,4.333e+06,1.888e+05,1.083e+05,4.630e+06
79.4,3.749e+06,2.195e+05,1.202e+05,4.088e+06
81.0,2.922e+06,2.249e+05,1.152e+05,3.262e+06
82.5,2.273e+06,2.170e+05,1.110e+05,2.601e+06
84.0,2.040e+06,1.952e+05,1.220e+05,2.357e+06
85.6,1.940e+06,1.735e+05,1.463e+05,2.260e+06
87.1,2.058e+06,1.671e+05,1.923e+05,2.417e+06
88.6,2.429e+06,1.780e+05,2.905e+05,2.898e+06
90.1,2.620e+06,1.643e+05,4.010e+05,3.186e+06
91.7,2.534e+06,1.154e+05,4.927e+05,3.142e+06
93.2,2.429e+06,6.359e+04,5.081e+05,3.000e+06
94.7,2.123e+06,7.970e+04,3.623e+05,2.565e+06
96.2,1.668e+06,1.637e+05,1.948e+05,2.026e+06
97.8,1.130e+06,2.607e+05,1.540e+05,1.545e+06
99.3,1.126e+06,3.139e+05,1.694e+05,1.609e+06
100.8,1.227e+06,3.184e+05,2.357e+05,1.781e+06
102.4,1.183e+06,2.682e+05,3.050e+05,1.756e+06
103.9,9.584e+05,2.541e+05,6.144e+05,1.827e+06
105.4,8.550e+05,3.548e+05,1.271e+06,2.481e+06
106.9,9.585e+05,4.570e+05,1.122e+06,2.538e+06
108.5,1.012e+06,4.954e+05,5.281e+05,2.036e+06
110.0,1.004e+06,5.515e+05,4.594e+05,2.015e+06
111.5,9.384e+05,5.899e+05,4.614e+05,1.990e+06
113.1,8.499e+05,6.199e+05,4.009e+05,1.871e+06
