freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.239e+01,9.294e+00,1.390e+02,1.606e+02
1.6,1.660e+01,2.059e+01,9.398e+01,1.312e+02
3.1,1.395e+01,2.240e+01,3.379e+01,7.015e+01
4.7,1.312e+01,2.098e+01,3.604e+02,3.945e+02
6.2,1.215e+01,1.998e+01,1.252e+03,1.284e+03
7.8,1.325e+01,2.610e+01,2.225e+03,2.264e+03
9.4,1.423e+01,4.402e+01,3.273e+03,3.331e+03
10.9,1.428e+01,5.675e+01,3.152e+03,3.223e+03
12.5,1.337e+01,3.477e+01,3.625e+03,3.673e+03
14.0,1.487e+01,2.840e+01,5.346e+03,5.389e+03
15.6,1.506e+01,2.931e+01,7.629e+03,7.673e+03
17.2,1.552e+01,3.557e+01,9.689e+03,9.740e+03
18.7,1.671e+01,4.088e+01,1.159e+04,1.165e+04
20.3,2.024e+01,4.282e+01,1.414e+04,1.420e+04
21.8,2.842e+01,4.794e+01,1.701e+04,1.709e+04
23.4,3.997e+01,5.056e+01,2.033e+04,2.042e+04
25.0,4.000e+01,5.402e+01,2.421e+04,2.431e+04
26.5,2.884e+01,6.381e+01,2.776e+04,2.785e+04
28.1,2.274e+01,8.603e+01,3.125e+04,3.135e+04
29.6,4.231e+01,1.063e+02,3.486e+04,3.501e+04
31.2,7.886e+01,1.026e+02,3.686e+04,3.704e+04
32.8,1.150e+02,1.068e+02,3.393e+04,3.415e+04
34.3,1.424e+02,1.445e+02,2.986e+04,3.015e+04
35.9,1.546e+02,1.644e+02,2.951e+04,2.983e+04
37.4,1.563e+02,1.911e+02,3.018e+04,3.052e+04
39.0,2.006e+02,1.768e+02,3.233e+04,3.271e+04
40.6,3.015e+02,1.639e+02,3.885e+04,3.932e+04
42.1,4.206e+02,2.626e+02,4.923e+04,4.992e+04
43.7,5.762e+02,2.696e+02,6.372e+04,6.457e+04
45.3,8.347e+02,3.061e+02,8.617e+04,8.731e+04
46.8,1.265e+03,6.210e+02,1.138e+05,1.156e+05
48.4,2.127e+03,9.798e+02,1.609e+05,1.640e+05
49.9,4.375e+03,1.206e+03,2.397e+05,2.453e+05
51.5,7.616e+03,1.795e+03,3.117e+05,3.211e+05
53.1,7.971e+03,2.675e+03,2.963e+05,3.070e+05
54.6,5.652e+03,2.632e+03,1.943e+05,2.026e+05
56.2,4.104e+03,2.184e+03,1.329e+05,1.392e+05
57.7,3.094e+03,1.714e+03,1.047e+05,1.095e+05
59.3,3.115e+03,1.267e+03,8.626e+04,9.064e+04
60.9,4.283e+03,1.315e+03,6.958e+04,7.518e+04
62.4,4.987e+03,1.136e+03,6.090e+04,6.702e+04
64.0,7.255e+03,1.044e+03,6.032e+04,6.862e+04
65.5,8.834e+03,1.802e+03,5.957e+04,7.021e+04
67.1,7.360e+03,2.820e+03,5.233e+04,6.251e+04
