freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.134e+01,5.400e+02,6.164e+01,6.430e+02
1.6,1.554e+02,4.944e+02,8.840e+01,7.382e+02
3.1,1.927e+02,1.992e+02,5.617e+01,4.482e+02
4.7,1.976e+02,5.483e+02,6.136e+01,8.072e+02
6.2,2.217e+02,1.406e+03,5.858e+01,1.686e+03
7.8,1.987e+02,2.148e+03,5.702e+01,2.404e+03
9.4,2.094e+02,3.013e+03,6.595e+01,3.288e+03
10.9,2.110e+02,3.799e+03,6.396e+01,4.074e+03
12.5,1.958e+02,4.241e+03,7.000e+01,4.507e+03
14.0,1.951e+02,5.182e+03,6.954e+01,5.447e+03
15.6,2.067e+02,6.569e+03,7.176e+01,6.847e+03
17.2,1.905e+02,8.004e+03,7.691e+01,8.271e+03
18.7,1.867e+02,9.693e+03,7.940e+01,9.959e+03
20.3,1.992e+02,1.165e+04,8.364e+01,1.194e+04
21.8,2.145e+02,1.363e+04,8.784e+01,1.394e+04
23.4,2.512e+02,1.591e+04,9.775e+01,1.626e+04
24.9,2.658e+02,1.853e+04,1.045e+02,1.890e+04
26.5,2.609e+02,2.151e+04,1.225e+02,2.190e+04
28.1,2.345e+02,2.460e+04,1.370e+02,2.498e+04
29.6,2.446e+02,2.748e+04,1.352e+02,2.786e+04
31.2,2.446e+02,3.071e+04,1.499e+02,3.110e+04
32.7,2.359e+02,3.516e+04,1.754e+02,3.557e+04
34.3,2.472e+02,4.077e+04,1.833e+02,4.120e+04
35.9,3.047e+02,4.703e+04,1.802e+02,4.751e+04
37.4,4.121e+02,5.532e+04,1.948e+02,5.593e+04
39.0,5.369e+02,6.534e+04,2.336e+02,6.611e+04
40.5,6.184e+02,7.819e+04,3.305e+02,7.914e+04
42.1,7.741e+02,9.385e+04,4.010e+02,9.502e+04
43.7,9.879e+02,1.122e+05,4.996e+02,1.137e+05
45.2,1.267e+03,1.374e+05,5.909e+02,1.393e+05
46.8,1.581e+03,1.711e+05,6.301e+02,1.733e+05
48.3,1.873e+03,2.140e+05,6.855e+02,2.166e+05
49.9,2.184e+03,2.627e+05,9.497e+02,2.658e+05
51.5,2.551e+03,3.276e+05,1.291e+03,3.314e+05
53.0,2.915e+03,4.183e+05,1.605e+03,4.228e+05
54.6,3.235e+03,5.371e+05,2.428e+03,5.428e+05
56.1,4.435e+03,7.405e+05,3.672e+03,7.486e+05
57.7,7.715e+03,1.060e+06,4.181e+03,1.072e+06
59.3,1.466e+04,1.666e+06,3.850e+03,1.684e+06
60.8,2.403e+04,2.423e+06,7.866e+03,2.455e+06
62.4,3.076e+04,2.805e+06,2.109e+04,2.857e+06
63.9,3.285e+04,2.753e+06,3.351e+04,2.819e+06
65.5,2.431e+04,2.212e+06,3.264e+04,2.269e+06
67.1,1.236e+04,1.437e+06,3.294e+04,1.482e+06
68.6,6.599e+03,9.344e+05,3.045e+04,9.714e+05
70.2,3.880e+03,5.960e+05,2.132e+04,6.212e+05
71.7,2.743e+03,3.637e+05,1.231e+04,3.787e+05
73.3,2.079e+03,2.157e+05,6.485e+03,2.242e+05
74.8,1.536e+03,1.337e+05,3.978e+03,1.392e+05
76.4,1.246e+03,9.251e+04,3.378e+03,9.714e+04
78.0,1.237e+03,6.330e+04,2.715e+03,6.725e+04
79.5,1.315e+03,4.229e+04,1.977e+03,4.558e+04
81.1,1.441e+03,2.799e+04,1.500e+03,3.093e+04
82.6,1.650e+03,1.941e+04,1.292e+03,2.235e+04
84.2,2.032e+03,1.379e+04,1.363e+03,1.719e+04
85.8,2.146e+03,9.446e+03,1.565e+03,1.316e+04
87.3,2.015e+03,7.170e+03,1.561e+03,1.075e+04
88.9,2.409e+03,7.012e+03,1.302e+03,1.072e+04
90.4,2.692e+03,7.300e+03,8.523e+02,1.084e+04
92.0,2.627e+03,6.913e+03,5.256e+02,1.007e+04
93.6,2.488e+03,5.847e+03,5.983e+02,8.933e+03
95.1,2.766e+03,5.379e+03,1.108e+03,9.252e+03
96.7,3.448e+03,5.796e+03,2.201e+03,1.145e+04
98.2,3.576e+03,5.658e+03,3.719e+03,1.295e+04
99.8,4.406e+03,9.444e+03,5.132e+03,1.898e+04
101.4,4.993e+03,1.575e+04,5.698e+03,2.644e+04
102.9,6.971e+03,1.777e+04,3.684e+03,2.843e+04
104.5,1.150e+04,2.249e+04,1.982e+03,3.596e+04
106.0,1.668e+04,3.048e+04,1.814e+03,4.897e+04
107.6,2.208e+04,3.651e+04,2.198e+03,6.079e+04
109.2,2.614e+04,3.964e+04,2.725e+03,6.851e+04
110.7,2.736e+04,4.408e+04,3.280e+03,7.473e+04
112.3,2.499e+04,5.228e+04,3.934e+03,8.121e+04
113.8,2.155e+04,6.081e+04,4.329e+03,8.669e+04
115.4,1.889e+04,6.963e+04,5.004e+03,9.353e+04
117.0,1.842e+04,8.504e+04,7.257e+03,1.107e+05
118.5,2.145e+04,1.075e+05,1.049e+04,1.395e+05
120.1,2.485e+04,1.235e+05,1.211e+04,1.604e+05
121.6,2.662e+04,1.296e+05,1.214e+04,1.683e+05
123.2,2.877e+04,1.422e+05,1.308e+04,1.840e+05
124.7,3.633e+04,1.572e+05,1.454e+04,2.081e+05
126.3,4.117e+04,1.713e+05,1.603e+04,2.285e+05
127.9,4.010e+04,1.894e+05,1.738e+04,2.468e+05
129.4,4.236e+04,2.092e+05,1.797e+04,2.695e+05
131.0,4.378e+04,2.375e+05,1.955e+04,3.008e+05
132.5,3.350e+04,1.884e+05,1.639e+04,2.383e+05
134.1,1.362e+04,4.248e+04,3.671e+03,5.977e+04
